artist,genres,followers,popularity
Walls of Jericho,"['groove metal', 'melodic metalcore']",113362,34
Phoenix,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais', 'shimmer pop']",1942825,69
Fridayy,[],249827,67
D-Event,[],119,11
Daft Punk,"['electro', 'filter house', 'rock']",10198301,82
Hombres G,"['latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish rock']",4483935,73
Lennox,[],23752,56
Luis R Conriquez,"['corrido', 'sad sierreno', 'sierreno']",6469083,86
Cyndi Lauper,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",2858051,73
Crowded House,"['australian rock', 'permanent wave']",879780,71
Bruno Mars,"['dance pop', 'pop']",60439231,94
Emre Fel,['turkish singer-songwriter'],318561,68
Fuerza Regida,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",11841078,89
Brand Nubian,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop']",235817,42
Metro Boomin,['rap'],9419007,90
Common,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'hardcore hip hop', 'hip hop', 'political hip hop']",978659,62
Skepta,"['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']",1361935,74
Lady Gaga,"['art pop', 'dance pop', 'pop']",32120416,92
Kenia OS,"['latin viral pop', 'urbano mexicano']",5501954,76
Black Moon,"['east coast hip hop', 'hardcore hip hop']",196908,44
J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",24746817,87
Nazan Öncel,"['turkish instrumental', 'turkish pop', 'turkish singer-songwriter']",653711,61
Rick Ross,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",7370543,77
Aventura,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",8879548,82
John Maus,"['art pop', 'baroque pop', 'experimental pop', 'grave wave', 'hypnagogic pop', 'noise pop']",215811,49
Sabrina Carpenter,['pop'],13764628,95
Tobÿ,"['chill house', 'saxophone house', 'tropical house']",8074,55
Artemas,[],959846,80
Delaporte,['spanish indie pop'],67266,48
jüle.,[],2843,49
Vacra,['pop urbaine'],89166,68
Ultimo,"['italian adult pop', 'italian pop']",3617625,72
Gaby Music,"['pop reggaeton', 'trap latino', 'urbano latino']",73815,66
sombr,[],186817,64
HUGEL,['deep house'],342878,77
ASTRO,"['k-pop', 'k-pop boy group']",2137236,56
The LOX,"['dirty south rap', 'east coast hip hop', 'hardcore hip hop']",566440,53
Can Kazaz,"['turkish alt pop', 'turkish rock']",369406,62
Franglish,"['french hip hop', 'pop urbaine', 'r&b francais']",1528620,70
Big One,['trap argentino'],634620,75
Caleb Calloway,['urbano latino'],22150,59
Pixies,"['alternative rock', 'boston rock', 'permanent wave', 'rock']",3111111,72
WIU,['trap brasileiro'],2415404,76
Los Rodriguez,"['argentine rock', 'latin alternative', 'rock en espanol']",718877,61
Lola Young,['uk pop'],255056,62
Chencho Corleone,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",1202993,80
Dee C. Lee,[],3726,27
Quevedo,"['rap canario', 'trap latino', 'urbano latino']",5191462,82
Jowell & Randy,"['reggaeton', 'urbano latino']",4427446,72
David Garrett,"['bow pop', 'pop violin']",499178,54
girl in red,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",7591174,78
The Marías,"['bedroom pop', 'la indie']",1560952,77
Chappell Roan,['indie pop'],3534996,90
Bad Gyal,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']",1813395,75
USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",12242700,83
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",59436644,88
José Mercé,[],140,0
Tate McRae,['pop'],6054052,85
Porter Robinson,"['complextro', 'edm', 'electro house', 'pop dance', 'progressive electro house']",1164119,65
.Feast,['indonesian indie'],745559,68
Sebastian Yatra,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",23156699,80
Doechii,['alternative r&b'],597612,73
Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",45573720,92
Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",18908068,93
Ivan Ferreiro,"['cantautor', 'spanish indie pop']",250520,53
Harry Styles,['pop'],32962024,84
Emilia,['pop argentino'],3646592,81
KHEA,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",5750555,78
Ashanti,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",3195612,72
Joan Dausà,"['cantautor catala', 'indie catala', 'rock catala']",51015,49
Burna Boy,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",10357885,81
Yeah Yeah Yeahs,"['alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave']",1348311,68
InI,['jazz rap'],9822,48
Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",15078947,76
Yomo,"['latin hip hop', 'reggaeton']",1019477,60
Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",8467849,82
Samuraï,[],56128,59
El Barrio,"['pop flamenco', 'rock andaluz', 'rumba', 'spanish pop']",1251062,64
Vance Joy,"['folk-pop', 'modern rock']",3175585,77
Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",38291510,88
Ayra Starr,['afrobeats'],3721946,79
Madison Beer,['pop'],7114883,75
24kGoldn,"['cali rap', 'pop rap']",2243963,71
Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",14254481,92
Tiakola,"['french hip hop', 'pop urbaine']",2369496,79
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",92821145,96
Rod Wave,['florida rap'],7906077,82
Hi-Tech,['golden age hip hop'],7809,32
Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",12699059,84
Jazzy,"['pop dance', 'uk dance']",77976,69
IONA,['lo-fi jazzhop'],803,43
Beyoncé,"['pop', 'r&b']",38758702,87
Dani Martín,"['spanish pop', 'spanish pop rock']",921567,62
Héctor Lavoe,"['salsa', 'salsa puertorriquena', 'tropical']",2089265,67
The Goo Goo Dolls,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",2939489,76
Airbag,['argentine rock'],872716,69
Billy Joel,"['album rock', 'classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",6336781,79
Swallow The Sun,"['doom metal', 'finnish death metal', 'finnish doom metal', 'finnish melodeath', 'finnish metal', 'melodic death metal']",148104,43
Maria Becerra,"['pop argentino', 'urbano latino']",7083233,82
Mike Tucker,[],308,12
Roberto Carlos,"['jovem guarda', 'mpb']",6014790,71
Andrés Koi,[],6538,33
MAGIC!,"['pop', 'reggae fusion']",1363551,70
Nas,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",3920343,74
Chase Atlantic,['alternative r&b'],8250483,82
Omar Montes,"['flamenco urbano', 'urbano espanol']",818424,74
Mishaal Tamer,"['lo-fi chill', 'sad lo-fi']",108178,57
21 Savage,"['atl hip hop', 'hip hop', 'rap']",20318872,89
Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",35222759,88
"Tyler, The Creator","['hip hop', 'rap']",16596279,87
aespa,['k-pop girl group'],6689704,81
Black Sheep,"['east coast hip hop', 'queens hip hop']",236079,44
Rakim,['east coast hip hop'],926508,59
Kelsea Ballerini,"['contemporary country', 'country']",1202868,70
John Legend,"['neo soul', 'pop', 'pop soul', 'urban contemporary']",7093247,77
Berliner Philharmoniker,"['classical', 'classical performance', 'german orchestra', 'orchestra']",224773,74
ARCO,[],305,8
Snow Strippers,['cloud rap'],117677,65
Pink Martini,['lounge'],414266,59
Charli xcx,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",4280724,90
Naughty By Nature,"['east coast hip hop', 'hip hop', 'new jersey rap']",1184720,61
Justin Timberlake,"['dance pop', 'pop']",14609084,83
Carbonne,[],154686,65
Marlon Craft,['nyc rap'],173007,58
De La Soul,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']",1042027,61
Too $hort,"['cali rap', 'gangster rap', 'golden age hip hop', 'hyphy', 'oakland hip hop', 'west coast rap']",1585009,64
C4C,"['chillhop', 'lo-fi beats']",12809,52
Regard,"['pop dance', 'pop edm', 'slap house', 'uk dance']",261537,69
KARINA,[],230543,45
Coldplay,"['permanent wave', 'pop']",54081709,92
Ana Mena,['spanish pop'],949371,70
2 Chainz,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",8105981,76
BANKS,"['art pop', 'electropop', 'indie poptimism', 'indietronica', 'shimmer pop']",1063738,58
Dinosaur Jr.,"['alternative rock', 'lo-fi', 'noise pop', 'noise rock', 'permanent wave', 'power pop', 'shoegaze', 'slacker rock']",550815,52
R. City,"['reggae fusion', 'virgin islands reggae']",171628,63
Conrad Sewell,['australian pop'],115267,63
Ziak,"['drill francais', 'french hip hop', 'pop urbaine']",1092722,63
Jorja Smith,"['r&b', 'uk contemporary r&b']",3482026,74
Rosendo Cantú,"['musica neoleonesa', 'norteno']",23274,47
Nile Rodgers,['disco'],150819,74
Elyanna,['palestinian pop'],218367,72
KIDDO,['scandipop'],28471,61
Jain,['french pop'],969090,64
DVSR,['rap metal'],27134,28
La Frontera,"['spanish new wave', 'spanish pop']",95648,43
Dirty Porko,"['rap espanol', 'spanish hip hop', 'urbano espanol']",63352,47
Xzibit,"['detroit hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']",2105284,68
Dua Lipa,"['dance pop', 'pop', 'uk pop']",44842885,88
Ramos.,[],13452,58
Trueno,"['argentine hip hop', 'bases de freestyle', 'trap argentino', 'trap latino', 'urbano latino']",7752569,81
Digable Planets,"['afrofuturism', 'east coast hip hop', 'hip hop', 'jazz rap', 'psychedelic hip hop']",440404,53
Imagine Dragons,"['modern rock', 'pop', 'rock']",54895738,89
El Alfa,"['dembow', 'rap dominicano', 'trap latino', 'urbano latino']",3681007,79
Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",11969427,90
Pete Rock,"['east coast hip hop', 'instrumental hip hop', 'jazz rap']",360645,55
Jacob Forever,"['cubaton', 'reparto']",200284,58
The Cranberries,"['irish rock', 'pop rock', 'rock']",4566527,78
Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",116583260,89
Yann Tiersen,"['compositional ambient', 'french soundtrack']",1052596,67
Slow J,['hip hop tuga'],233839,59
MC Rick,"['funk bh', 'funk carioca', 'funk mtg']",1539371,70
Olly Alexander (Years & Years),"['dance pop', 'gauze pop', 'pop', 'pop dance', 'uk pop']",1973858,69
Myles Smith,['singer-songwriter pop'],751678,79
Parliament Funkadelic,"['afrofuturism', 'p funk']",31075,44
Myke Towers,"['reggaeton', 'trap latino', 'urbano latino']",16788680,89
Miguel,"['r&b', 'urban contemporary']",5314340,81
Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",3062442,76
Hozier,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",7942780,87
Childish Gambino,"['atl hip hop', 'hip hop', 'rap']",13413601,81
Mägo de Oz,"['celtic metal', 'latin rock', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",4361266,70
Isaac Delusion,"['electro-pop francais', 'french indie pop', 'french indietronica', 'french psychedelic']",121399,53
SCH,"['french hip hop', 'pop urbaine', 'rap marseille']",2349837,72
Wisin & Yandel,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",7781958,80
BM,[],83388,42
Souls Of Mischief,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap']",335065,55
Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']",11155462,79
Mister V,"['french hip hop', 'pop urbaine', 'rap francais']",588798,53
Ruth B.,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",3750970,74
Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",12734991,84
Crystal Fighters,['shimmer pop'],351845,51
Martin Kohlstedt,['neo-classical'],49529,45
Lacrim,"['arabic hip hop', 'french hip hop', 'pop urbaine']",2574585,72
Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",34949657,88
Ja Rule,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary']",1938544,70
Foster The People,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",3850563,75
Sam Smith,"['pop', 'uk pop']",24439181,84
Outlawz,['gangster rap'],316500,67
Gracie Abrams,['alt z'],2717004,86
Alex Margo,[],1458,32
Dove Cameron,['pop'],5219858,73
Stevie Wonder,"['motown', 'soul']",6621450,76
Ken-Y,['reggaeton'],362741,65
Bradley Simpson,[],25191,40
Sátyr,"['lo-fi beats', 'lo-fi jazzhop', 'lo-fi study']",5047,55
Skillibeng,"['dancehall', 'jamaican dancehall', 'traphall', 'trinibad']",415776,66
Morad,"['drill espanol', 'urbano espanol']",3556117,80
Cruza,['indie r&b'],46996,56
The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",7507142,79
María Escarmiento,['latin talent show'],49172,46
keshi,['chill r&b'],3749147,79
Los Ángeles Azules,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",7778818,79
Living Room,"['lo-fi jazzhop', 'lo-fi study']",16217,55
High John,"['lo-fi beats', 'lo-fi jazzhop']",6192,47
cassö,"['hypertechno', 'pop dance']",72184,70
Backstreet Boys,"['boy band', 'dance pop', 'pop']",5925649,78
The Kid LAROI,['australian hip hop'],5752010,85
Alphaville,"['new romantic', 'new wave pop', 'synthpop']",920904,73
Angèle,"['belgian pop', 'french pop', 'variete francaise']",2736761,69
Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",5538445,77
Chris Brown,"['r&b', 'rap']",23685056,88
Alan Walker,['electro house'],39592551,82
Travis Scott,"['rap', 'slap house']",33711661,94
Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",8141609,87
Jeezy,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']",2439998,72
Emma Nissen,[],77301,50
David Gilmour,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'symphonic rock']",1940195,64
Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",28684671,84
Nil Moliner,['spanish pop'],253999,63
Peysoh,[],145170,56
Shaboozey,"['modern country pop', 'pop rap']",723976,81
Leon Thomas,['indie r&b'],188996,66
Zach Bryan,['classic oklahoma country'],5302985,91
Ice Cube,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",9165433,75
Niños Mutantes,"['granada indie', 'musica para ninos', 'spanish indie pop', 'spanish modern rock']",91242,43
Fuego,"['electro latino', 'rap dominicano', 'trap latino']",275662,63
LISA,['k-pop'],9227814,83
AC/DC,"['australian rock', 'hard rock', 'rock']",29595700,84
iann dior,['melodic rap'],1863495,72
Dasha,[],238267,75
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",92632184,96
Barry Manilow,"['adult standards', 'mellow gold', 'soft rock', 'yacht rock']",1716196,63
Dilated Peoples,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'west coast rap']",219399,50
Billy Ray Cyrus,['country rock'],254009,63
Gaiea Sanskrit,"['kirtan', 'world devotional']",30956,42
Melanie Martinez,"['alt z', 'electropop', 'pop']",21402342,80
Roxette,"['europop', 'swedish pop', 'synthpop']",2355638,74
Dedublüman,['turkce slow sarkilar'],1541489,72
Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",33837065,84
Sonny Fodera,"['house', 'pop dance', 'uk dance']",219231,70
Billie Eilish,"['art pop', 'pop']",100866855,96
Wisin & Yandel,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",7781958,80
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",22893030,87
Sammy Rae & The Friends,['nyc pop'],206824,57
Ms. Lauryn Hill,"['alternative r&b', 'conscious hip hop', 'hip hop', 'neo soul', 'new jersey rap', 'r&b']",3086269,75
Aitana,"['latin talent show', 'latin viral pop', 'spanish pop']",3093379,74
Tommy Richman,['chill abstract hip hop'],734192,80
ANNA,"['italian hip hop', 'italian pop']",1084436,77
NLE Choppa,"['memphis hip hop', 'rap']",8702747,80
Gigi Perez,['bedroom pop'],333585,78
OBOY,"['french hip hop', 'pop urbaine', 'rap francais']",939186,69
ECKO,"['argentine hip hop', 'trap argentino']",1313183,67
GIMS,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap conscient']",4948104,80
Omega,['rap dominicano'],241931,64
Andrés Calamaro,"['argentine rock', 'cantautor', 'latin alternative', 'pop argentino', 'rock en espanol']",2575756,72
Nicki Nicole,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino', 'urbano latino']",7630524,80
Pete Rock,"['east coast hip hop', 'instrumental hip hop', 'jazz rap']",360645,55
Massive Attack,"['downtempo', 'electronica', 'trip hop']",2299048,68
Jay Wheeler,"['reggaeton', 'trap latino', 'urbano latino']",4383389,80
Kacey Musgraves,"['classic texas country', 'contemporary country', 'country dawn']",1484963,77
The Vaccines,"['british indie rock', 'garage rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']",786199,58
Little Big Town,"['contemporary country', 'country', 'country dawn', 'country road']",2808995,63
Manolo Garcia,"['cantautor', 'pop flamenco', 'spanish new wave', 'spanish pop']",643138,59
Laura Pausini,"['europop', 'italian adult pop', 'latin arena pop', 'mexican pop']",2614571,73
D.O.D,"['electro house', 'house', 'pop dance', 'uk dance']",91456,70
Leño,"['cantautor', 'spanish new wave', 'spanish punk']",125752,43
Casey MQ,['bubblegum bass'],8373,35
Djadja & Dinaz,"['french hip hop', 'pop urbaine', 'rap conscient']",2856063,69
ERNEST,['modern country pop'],196879,73
Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",7520488,85
Dei V,"['trap latino', 'urbano latino']",1359785,81
Charlie Brown Jr.,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",7487754,76
Cardi B,"['pop', 'rap']",24541790,81
Keinemusik,['melodic house'],324079,77
Tiago PZK,"['trap argentino', 'trap latino', 'urbano latino']",5367451,81
Luke Combs,"['contemporary country', 'country']",11545769,88
Jordan Adetunji,['irish hip hop'],175347,74
The Tequila Worms,[],123,2
Daya,"['alt z', 'pop']",1673468,72
ELENA ROSE,['r&b en espanol'],131558,71
Ryan Castro,"['reggaeton', 'trap colombiano', 'trap latino', 'urbano latino']",3077628,79
FT Kings,[],17874,67
Meghan Trainor,"['hip pop', 'pop']",15402687,80
The 1975,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']",7413810,78
Deadletter,[],14,0
Mark Ambor,['singer-songwriter pop'],511228,76
Polo G,"['chicago rap', 'rap']",11876890,81
Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",14092972,84
Morgan Wallen,['contemporary country'],10880228,91
Bresh,"['italian hip hop', 'italian pop', 'rap genovese']",269964,69
Prototype,['rap francais'],54550,60
Chimbala,"['dembow', 'rap dominicano']",641468,70
50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",15734954,85
Don Toliver,['rap'],5093747,87
The Chainsmokers,['pop'],20539287,83
KADI,[],38774,48
Patti LaBelle,"['contemporary r&b', 'philly soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",1019629,53
Taylor Swift,['pop'],123832268,100
Amaarae,"['afro r&b', 'afrobeats', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",442871,69
Wiz Khalifa,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",11277546,83
Julión Álvarez y su Norteño Banda,"['banda', 'musica mexicana', 'norteno', 'sad sierreno']",6676487,84
Manolo Garcia,"['cantautor', 'pop flamenco', 'spanish new wave', 'spanish pop']",643138,59
Key-Key,['raspe'],38524,66
Peso Pluma,"['corridos tumbados', 'sad sierreno']",16695112,93
Miley Cyrus,['pop'],24879382,84
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26298763,90
Blessd,"['reggaeton', 'urbano latino']",5124043,82
Myles Smith,['singer-songwriter pop'],751678,79
Milo j,"['trap argentino', 'trap latino', 'urbano latino']",4882763,83
Paul McCartney,"['classic rock', 'mellow gold', 'rock', 'soft rock']",4915114,73
W Sound,[],116656,66
Kelly Clarkson,"['dance pop', 'pop', 'talent show']",10599267,74
Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",15155007,79
Hamza,"['belgian hip hop', 'cloud rap francais', 'french hip hop', 'pop urbaine', 'rap belge']",1373471,74
LeToya Luckett,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",457389,30
UZI,"['turkish hip hop', 'turkish trap']",5180224,72
Camp Lo,"['bronx hip hop', 'east coast hip hop', 'jazz rap']",160785,44
Fontaines D.C.,"['crank wave', 'irish indie rock', 'irish post-punk']",645930,72
Marcus King,"['modern blues', 'modern blues rock']",265355,57
Luísa Sonza,"['funk carioca', 'pop nacional']",6091849,77
Teddy Swims,[],3187267,86
DJ Nelson,"['reggaeton', 'urbano latino']",1161318,73
Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",63182118,92
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",86320568,95
Duncan Dhu,"['cantautor', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol', 'spanish new wave', 'spanish pop']",811699,63
Plan B,"['reggaeton', 'trap latino', 'urbano latino']",5057388,81
nimino,['melodic house'],86505,66
IAMX,"['indietronica', 'industrial pop']",201895,51
Fran C,['reggaeton chileno'],108051,65
RAYE,"['uk contemporary r&b', 'uk pop']",1696609,79
L.V.,[],40254,70
Chayanne,"['latin pop', 'puerto rican pop']",8270548,76
Lynda Randle,['southern gospel'],44271,39
R. Kelly,[],2425373,69
JHAYCO,"['reggaeton', 'trap latino', 'urbano latino']",8119240,84
Grandmaster Melle Mel,"['bronx hip hop', 'east coast hip hop', 'old school hip hop']",71732,52
Eminem,"['detroit hip hop', 'hip hop', 'rap']",91678017,93
Journey,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",5749016,77
Tyla,[],1996885,77
Lil' Kim,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']",1772648,65
SNAYX,[],8584,32
