artist,genres,followers,popularity
Haze,"['latin pop', 'trap latino', 'urbano latino']",76424,72
Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",15399466,87
Black Pumas,['retro soul'],1060349,64
Paul Collins,['movie tunes'],817,33
Triana,[],229,32
Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",18737907,87
SZA,"['pop', 'r&b', 'rap']",23703730,90
Adam Port,['melodic house'],204813,77
The Notorious B.I.G.,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",10851733,80
Takuya Kuroda,"['contemporary jazz', 'indie jazz', 'japanese jazz']",128483,41
Natasha Bedingfield,"['dance pop', 'pop', 'post-teen pop']",1826183,76
Yandel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",8003419,81
Capo Plaza,"['italian hip hop', 'italian pop', 'trap italiana']",3887922,75
Roger Miller,"['classic country pop', 'classic oklahoma country', 'nashville sound']",276544,54
Luvcat,[],70580,54
Noah Kahan,"['pov: indie', 'singer-songwriter pop']",3466929,87
Estopa,"['pop flamenco', 'rumba', 'spanish pop']",2099222,71
Benson Boone,['singer-songwriter pop'],3744199,86
Topic,"['german dance', 'pop dance', 'pop edm', 'uk dance']",264447,76
LOS NIKIS,['spanish new wave'],35204,37
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27172860,92
No Te Va Gustar,"['latin alternative', 'reggae uruguayo', 'rock en espanol', 'rock uruguayo']",2356400,71
*NSYNC,"['boy band', 'dance pop', 'pop']",2671666,78
Zion & Lennox,"['reggaeton', 'urbano latino']",7729344,77
Pink Floyd,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",20977028,80
Max McNown,[],236743,69
Christina Aguilera,"['dance pop', 'pop']",8523503,79
Angelina Mango,['italian pop'],459615,67
Trippie Redd,"['melodic rap', 'rap', 'trap']",9879383,82
41,['new york drill'],240577,72
d4vd,"['bedroom pop', 'bedroom r&b']",3017126,80
Ralphie Choo,"['indie r&b', 'urbano espanol']",69728,63
Guè,"['italian hip hop', 'italian pop']",2597003,76
