artist,name,date,time,venue,location,price_range
jüle.,The Warning,2024-10-30,19:00:00,The Danforth Music Hall,"Toronto, Canada",33.0-48.0 CAD
jüle.,Featurette & CARYS,2024-11-23,19:00:00,The Drake Hotel,"Toronto, Canada",20.0-20.0 CAD
jüle.,JULES! Album Release Tour,2024-10-11,12:00:00,Cubby Bear,"Chicago, United States Of America",25.0-25.0 USD
Vacra,Vacra,2024-12-06,20:00:00,Théâtre Beanfield,"Montreal, Canada",30.0-35.0 CAD
Ultimo,Mikel Erentxun - El último Vuelo del Hombre Bala USA Tour 2020,2025-03-17,19:00:00,The Parish at House of Blues Anaheim,"Anaheim, United States Of America",27.5-27.5 USD
Gaby Music,Gaby Moreno,2024-11-22,20:00:00,The Venice West,"Venice, United States Of America",43.74-43.74 USD
sombr,sombr,2024-11-06,19:00:00,Constellation Room,"Santa Ana, United States Of America",20.0-20.0 USD
sombr,Luke Hemmings: Nostalgia For A Time That Never Existed: Part 2,2024-11-21,20:00:00,Coca-Cola Roxy,"Atlanta, United States Of America",42.5-95.0 USD
sombr,Luke Hemmings: Nostalgia For A Time That Never Existed: Part 2,2024-11-12,20:00:00,South Side Ballroom,"Dallas, United States Of America",45.0-69.5 USD
sombr,Luke Hemmings: Nostalgia For A Time That Never Existed: Part 2,2024-11-19,20:00:00,The Fillmore Miami Beach at Jackie Gleason Theater,"Miami Beach, United States Of America",57.5-89.5 USD
sombr,Luke Hemmings: Nostalgia For A Time That Never Existed: Part 2,2024-11-13,20:00:00,713 Music Hall,"Houston, United States Of America",45.0-69.5 USD
HUGEL,Hugel,2024-11-29,20:00:00,The Tivoli,"Brisbane, Australia",65.0-65.0 AUD
HUGEL,Hugel ( 21+ ),2024-10-26,22:30:00,Big Night Live,"Boston, United States Of America",30.0-30.0 USD
HUGEL,HUGEL - Beach Hotel Byron Bay,2024-11-30,19:00:00,The Beach Hotel,"Byron Bay, Australia",N/A
HUGEL,Harbourlife 2024,2024-11-23,14:00:00,Mrs Macquaries Point,"Sydney, Australia",N/A
Astro,New York Yankees vs. Houston Astros,2025-03-01,13:05:00,George Steinbrenner Field,"Tampa, United States Of America",35.0-110.0 USD
Astro,New York Yankees vs. Houston Astros,2025-08-08,19:05:00,Yankee Stadium,"Bronx, United States Of America",30.0-410.0 USD
Astro,New York Yankees vs. Houston Astros,2025-08-10,N/A,Yankee Stadium,"Bronx, United States Of America",30.0-410.0 USD
Astro,New York Yankees vs. Houston Astros,2025-08-09,N/A,Yankee Stadium,"Bronx, United States Of America",35.0-410.0 USD
Astro,New York Yankees v Houston Astros **Pinstripe Pass**,2025-03-01,13:05:00,George Steinbrenner Field,"Tampa, United States Of America",27.0-27.0 USD
Astro,Pinstripe Pass * New York Yankees v. Houston Astros,2025-08-09,N/A,Yankee Stadium,"Bronx, United States Of America",30.0-30.0 USD
Astro,Pinstripe Pass * New York Yankees v. Houston Astros,2025-08-08,19:05:00,Yankee Stadium,"Bronx, United States Of America",25.0-25.0 USD
Astro,New York Yankees v. Houston Astros * Premium Seating *,2025-08-08,19:05:00,Yankee Stadium,"Bronx, United States Of America",400.0-1775.0 USD
Astro,New York Yankees v. Houston Astros * Premium Seating *,2025-08-09,N/A,Yankee Stadium,"Bronx, United States Of America",400.0-1775.0 USD
Astro,Pinstripe Pass * New York Yankees v. Houston Astros,2025-08-10,N/A,Yankee Stadium,"Bronx, United States Of America",25.0-25.0 USD
Astro,New York Yankees v. Houston Astros * Premium Seating *,2025-08-10,N/A,Yankee Stadium,"Bronx, United States Of America",400.0-1775.0 USD
Astro,Houston Astros vs. New York Yankees,2025-03-08,N/A,Cacti Park of the Palm Beaches,"West Palm Beach, United States Of America",N/A
Astro,Los Angeles Dodgers vs. Houston Astros,2025-07-04,N/A,Dodger Stadium,"Los Angeles, United States Of America",N/A
Astro,Los Angeles Dodgers vs. Houston Astros,2025-07-05,N/A,Dodger Stadium,"Los Angeles, United States Of America",N/A
Astro,Los Angeles Dodgers vs. Houston Astros,2025-07-06,N/A,Dodger Stadium,"Los Angeles, United States Of America",N/A
Astro,Houston Astros vs. New York Yankees,2025-09-02,N/A,Minute Maid Park,"Houston, United States Of America",N/A
Astro,Houston Astros vs. New York Yankees,2025-09-03,N/A,Minute Maid Park,"Houston, United States Of America",N/A
Astro,Houston Astros vs. New York Yankees,2025-09-04,N/A,Minute Maid Park,"Houston, United States Of America",N/A
Astro,Man or Astro-Man?,2024-10-29,19:00:00,O2 Academy Islington,"London, Great Britain",20.5-20.5 GBP
Astro,Houston Astros,2025-08-08,00:00:00,Yankee Stadium,"Bronx, United States Of America",N/A
The LOX,The Lox,2024-11-01,20:00:00,The Palace Theatre Albany,"Albany, United States Of America",49.0-89.0 USD
The LOX,The Lox,2024-11-21,19:00:00,Stubb's Waller Creek Amphitheater,"Austin, United States Of America",57.0-57.0 USD
The LOX,The Lox,2024-12-06,20:30:00,State Theatre,"Portland, United States Of America",40.0-40.0 USD
The LOX,The Lox,2024-11-10,20:00:00,McMenamins Crystal Ballroom,"Portland, United States Of America",N/A
The LOX,The Lox,2024-11-24,19:00:00,Warehouse Live Midtown,"Houston, United States Of America",N/A
The LOX,The Lox,2024-11-02,19:00:00,Water Street Music Hall,"Rochester, United States Of America",N/A
The LOX,The Lox,2024-11-09,18:00:00,The Crocodile,"Seattle, United States Of America",N/A
The LOX,Fat Joe & The Lox,2024-10-23,19:00:00,"Copper Box Arena, Queen Elizabeth Olympic Park","London, Great Britain",0.0-130.0 GBP
The LOX,The LOX 30th Anniversary Tour,2024-11-22,19:00:00,House of Blues Dallas ,"Dallas, United States Of America",49.5-79.5 USD
The LOX,"THE LOX (Jadakiss, Styles P, Sheek Louch, & DJ Technician)",2024-11-09,18:00:00,The Crocodile,"Seattle, United States Of America",65.0-164.5 USD
The LOX,DOPE SHOWS PRESENT FALL CLASSIC 2024,2024-11-30,18:00:00,The Liacouras Center,"Philadelphia, United States Of America",65.0-160.0 USD
The LOX,Masters of Ceremony,2024-11-10,20:00:00,Barclays Center,"Brooklyn, United States Of America",71.0-381.0 USD
Can Kazaz,Can Kazaz,2024-10-31,21:30:00,Blind İstanbul,"İstanbul, Turkey",N/A
Franglish,Franglish,2025-03-15,20:30:00,Rockhal Club,"Esch-sur-Alzette, Luxembourg",N/A
Big One,Big Something,2024-10-25,20:00:00,The Vault at Capital One Hall,"Tysons, United States Of America",30.0-30.0 USD
Big One,îLESONIQ présente RAVENSCOON ''Glass Orchid Tour - Part One'',2024-10-19,22:00:00,Fairmount Theatre,"Montreal, Canada",N/A-N/A CAD
Caleb Calloway,CALEB CALLOWAY,2024-10-12,22:00:00,Newspeak,"Montreal, Canada",N/A-N/A CAD
Pixies,Pixies,2025-05-13,19:00:00,"P&J Live, Aberdeen","Aberdeen, Great Britain",58.5-58.5 GBP
Pixies,Pixies,2025-05-14,19:00:00,O2 Academy Edinburgh,"Edinburgh, Great Britain",58.5-58.5 GBP
Pixies,Pixies,2025-05-16,19:00:00,O2 Academy Brixton,"London, Great Britain",0.0-70.15 GBP
Pixies,Pixies,2025-05-17,19:00:00,O2 Academy Brixton,"London, Great Britain",0.0-70.15 GBP
Pixies,Pixies,2025-05-19,19:00:00,O2 Academy Leeds,"Leeds, Great Britain",58.35-58.35 GBP
Pixies,Pixies,2025-05-20,19:00:00,O2 Academy Birmingham,"Birmingham, Great Britain",58.35-58.35 GBP
Pixies,Pixies,2025-05-21,18:30:00,Utilita Arena Cardiff,"Cardiff, Great Britain",40.0-60.0 GBP
Pixies,PIXIES,2025-05-23,19:00:00,O2 City Hall Newcastle,"Newcastle Upon Tyne, Great Britain",45.0-65.0 GBP
Pixies,Pixies,2025-05-24,19:00:00,O2 Apollo Manchester,"Manchester, Great Britain",45.0-65.0 GBP
Pixies,Hey Pixies (Pixies Tribute),2024-11-30,18:00:00,New Cross Inn,"London, Great Britain",N/A
Pixies,Pixies,2025-04-28,20:00:00,SPOT / De Oosterpoort,"Groningen, Netherlands",55.6-55.6 EUR
Pixies,Pixies,2025-05-09,21:00:00,Palacio Municipal de Deportes,"Granada, Spain",40.0-40.0 EUR
Pixies,"Soy Division, The Smashing Pixies,   Lovecats",2024-11-16,20:00:00,Tuffy's Music Box,"Sanford, United States Of America",15.0-120.0 USD
Pixies,Pixies: The Night The Zombies Came 2025 European Tour,2025-04-26,18:30:00,Lotto Arena Antwerpen,"Merksem (Antwerpen), Belgium",47.75-52.23 EUR
Pixies,PIXIES and MODEST MOUSE with special guest CAT POWER Summer 2024,2026-06-21,17:30:00,Breese Stevens Field,"Madison, United States Of America",24.75-254.5 USD
Pixies,Pearl Jam - Dark Matter World Tour 2024,2024-11-08,N/A,Go Media Stadium,"Auckland, New Zealand",139.1-279.1 NZD
Pixies,Pearl Jam - Dark Matter World Tour 2024,2024-11-10,N/A,Go Media Stadium,"Auckland, New Zealand",139.1-279.1 NZD
Pixies,Pearl Jam - Dark Matter World Tour 2024,2024-11-13,N/A,People First Stadium,"Carrara, Australia",143.05-313.05 AUD
Pixies,Pearl Jam - Dark Matter World Tour 2024,2024-11-16,N/A,Marvel Stadium,"Docklands, Australia",138.17-308.16 AUD
Pixies,Pearl Jam - Dark Matter World Tour 2024,2024-11-18,18:00:00,Marvel Stadium,"Docklands, Australia",138.17-308.16 AUD
WIU,Lady Tigers vs. WIU Leathernecks,2025-02-06,11:00:00,TN State University Gentry Cen,"Nashville, United States Of America",N/A
WIU,TSU Men's Basketball vs. WIU Leathernecks,2025-02-06,19:30:00,TN State University Gentry Cen,"Nashville, United States Of America",N/A
Los Rodriguez,"A Tribute to JOHN 'DANDY' RODRIGUEZ with a Los Angeles All-Star Band. Musical Director: OSCAR HERNANDEZ w/ special guests: Nelson Gonzalez, George Delgado Carlos Cascante and Roosevelt Cprdpva",2024-11-13,20:30:00,Catalina Bar & Grill,"Hollywood, United States Of America",35.9-51.85 USD
Los Rodriguez,Storm Stand-up Presents Paul Rodriguez and Friends,2024-11-09,20:00:00,LAKE ELSINORE DIAMOND STADIUM,"Lake Elsinore, United States Of America",15.0-45.0 USD
Lola,Lola Young,2024-10-17,20:00:00,The Bellwether,"Los Angeles, United States Of America",29.5-29.5 USD
Lola,Lola Young,2024-10-18,19:00:00,The Observatory,"Santa Ana, United States Of America",25.0-25.0 USD
Lola,Lola Young,2024-10-19,19:00:00,House of Blues San Diego,"San Diego, United States Of America",20.0-65.0 USD
Lola,Lola Young,2024-12-03,19:00:00,SWX,"Bristol, Great Britain",N/A
Lola,Lola Young,2024-12-04,19:00:00,"Chalk, Brighton","Brighton, Great Britain",N/A
Lola,Lola Young,2024-12-06,19:00:00,Glasgow Garage,"Glasgow, Great Britain",N/A
Lola,Lola Young,2024-12-09,19:00:00,O2 Institute Birmingham,"Birmingham, Great Britain",17.5-17.5 GBP
Lola,Lola Young,2024-12-10,19:00:00,O2 Forum Kentish Town,"London, Great Britain",22.5-22.5 GBP
Lola,Lola Young,2025-02-19,19:00:00,Melkweg,"Amsterdam, Netherlands",26.45-26.45 EUR
Lola,Run Lola Run (Lola Rennt) Bfi the Art of Action Season,2024-12-04,20:00:00,Kendal Brewery Arts Centre,"Cumbria, Great Britain",N/A
Lola,LOLA YOUNG: this wasn't meant for you anyway tour,2024-10-21,20:00:00,The Fillmore,"San Francisco, United States Of America",27.5-27.5 USD
Lola,Lola Young - This Wasn't Meant For You Anyway Tour,2024-10-25,19:00:00,Commodore Ballroom,"Vancouver, Canada",33.0-38.0 CAD
Lola,Austin City Limits Music Festival - Weekend Two,2024-10-11,N/A,Zilker Park,"Austin, United States Of America",N/A
Lola,Lola Young,2024-10-23,20:00:00,The Showbox,"Seattle, United States Of America",N/A
Lola,Lola Young,2024-10-14,19:00:00,Meow Wolf,"Santa Fe, United States Of America",N/A
Lola,Lola Young,2024-10-22,20:00:00,Roseland Theater,"Portland, United States Of America",N/A
Lola,Lola Young,2024-10-15,20:00:00,The Rebel Lounge,"Phoenix, United States Of America",N/A
Chencho Corleone,Chencho Corleone,2024-11-13,21:00:00,Auditorio Telmex,"Zapopan, Mexico",670.0-2080.0 MXN
Chencho Corleone,Chencho Corleone - Solo Tour,2024-11-22,21:00:00,Auditorio Citibanamex,"Monterrey, Mexico",690.0-2210.0 MXN
Chencho Corleone,iHeartRadio Fiesta Latina,2024-10-26,20:00:00,Kaseya Center,"Miami, United States Of America",29.0-299.0 USD
Quevedo,Ricardo Quevedo — De algo nos tenemos que morir,2025-03-07,18:30:00,Odeon Theatre,"Hobart, Australia",N/A
Jowell & Randy,Jowell y Randy 3D,2025-03-12,20:30:00,Auditorio Nacional,"Ciudad de México, Mexico",500.0-2500.0 MXN
Jowell & Randy,Jowel y Randy Reggaeton Party,2024-10-26,22:00:00,The Forge,"Joliet, United States Of America",45.0-1000.0 USD
David Garrett,David Garrett | Premium Seat,2025-03-29,20:00:00,Uber Arena,"Berlin, Germany",219.0-219.0 EUR
David Garrett,David Ramirez with Garrett Owen,2024-10-15,20:00:00,The Showdown,"Portland, United States Of America",20.0-20.0 USD
David Garrett,David Garrett | All-In Package,2025-03-29,20:00:00,Uber Arena,"Berlin, Germany",269.0-269.0 EUR
David Garrett,KBCS Presents: David Ramirez w/ Garrett Owen,2024-10-16,20:00:00,Tractor,"Seattle, United States Of America",20.0-20.0 USD
David Garrett,David Garrett - Millennium Symphony World Tour 2025,2025-03-20,20:00:00,Olympiahalle,"Munich, Germany",10.65-309.0 EUR
David Garrett,David Garrett - Millennium Symphony World Tour 2025,2025-03-21,19:00:00,N/A,"Vienna, Austria",11.46-309.0 EUR
David Garrett,David Garrett - Millenium Symphony World Tour 2025,2025-03-24,20:00:00,SAP Arena,"Mannheim, Germany",12.1-259.0 EUR
David Garrett,David Garrett - Millenium Symphony World Tour 2025,2025-03-25,20:00:00,N/A,"Stuttgart, Germany",10.07-239.0 EUR
David Garrett,David Garrett - Millenium Symphony World Tour 2025,2025-03-26,20:00:00,Rudolf Weber-ARENA,"Oberhausen, Germany",44.0-259.0 EUR
David Garrett,David Garrett - Millennium Symphony World Tour 2025,2025-03-28,20:00:00,Barclays Arena,"Hamburg, Germany",12.25-279.0 EUR
David Garrett,David Garrett - Millennium Symphony World Tour 2025,2025-03-29,20:00:00,Uber Arena,"Berlin, Germany",11.3-259.0 EUR
David Garrett,David Garrett - Millennium Symphony World Tour 2025,2025-04-01,20:00:00,N/A,"Hannover, Germany",10.37-229.0 EUR
David Garrett,David Garrett - Millennium Symphony World Tour 2025,2025-04-02,20:00:00,N/A,"Leipzig, Germany",10.15-259.0 EUR
David Garrett,David Garrett - Millennium Symphony World Tour 2025,2025-04-03,20:00:00,N/A,"Cologne, Germany",11.3-269.0 EUR
David Garrett,David Garrett - Millennium Symphony World Tour 2025,2025-04-05,20:00:00,Hallenstadion,"Zürich, Switzerland",N/A
David Garrett,David Garrett - Millenium Symphony World Tour 2025,2025-04-06,20:00:00,N/A,"Frankfurt am Main, Germany",10.07-289.0 EUR
David Garrett,David Garrett - Millennium Symphony World Tour | Logen-Seat,2025-03-29,20:00:00,Uber Arena,"Berlin, Germany",249.0-249.0 EUR
David Garrett,David Garrett - Millennium Symphony World Tour | Logen-Package,2025-04-03,20:00:00,N/A,"Cologne, Germany",145.0-145.0 EUR
David Garrett,David Garrett - Millennium Symphony World Tour | Premium-Package,2025-04-03,20:00:00,N/A,"Cologne, Germany",239.0-239.0 EUR
David Garrett,David Garrett - Millennium Symphony World Tour 2025 | VIP,2025-04-05,20:00:00,Hallenstadion,"Zürich, Switzerland",N/A
girl in red,Girl In Red,2024-11-24,20:00:00,Austin City Limits Live at The Moody Theater,"Austin, United States Of America",N/A
girl in red,Girl In Red,2024-11-29,19:00:00,Stage AE,"Pittsburgh, United States Of America",N/A
girl in red,Girl In Red,2024-11-30,20:00:00,College Street Music Hall,"New Haven, United States Of America",N/A
girl in red,Girl In Red,2024-12-04,20:00:00,Agora Theatre,"Cleveland, United States Of America",N/A
girl in red,Girl In Red,2024-12-10,19:30:00,Palace Theatre-MN,"St. Paul, United States Of America",N/A
girl in red,GIRL IN RED: I HAVE TO SEE YOU AGAIN TOUR,2024-12-01,20:00:00,The Wellmont Theater,"Montclair, United States Of America",39.5-74.5 USD
girl in red,Girl in Red - I Have To See You Again Tour,2024-12-06,20:00:00,Columbus Athenaeum,"Columbus, United States Of America",42.5-54.5 USD
girl in red,GIRL IN RED: I HAVE TO SEE YOU AGAIN TOUR,2024-11-27,19:00:00,The Ritz,"Raleigh, United States Of America",48.5-48.5 USD
girl in red,GIRL IN RED: I HAVE TO SEE YOU AGAIN TOUR,2024-12-08,20:00:00,Old National Centre,"Indianapolis, United States Of America",39.75-59.75 USD
girl in red,GIRL IN RED: I HAVE TO SEE YOU AGAIN TOUR,2024-12-12,20:00:00,Uptown Theater,"Kansas City, United States Of America",49.5-99.5 USD
girl in red,girl in red - I Have To See You Again Tour,2024-12-06,20:00:00,The Athenaeum Theatre,"Columbus, United States Of America",N/A
girl in red,Red Hot Summer Tour: ICEHOUSE,2025-01-04,12:30:00,Mornington Racecourse,"Mornington, Australia",142.95-142.95 AUD
girl in red,Red Hot Summer Tour: ICEHOUSE,2025-02-01,12:30:00,Park Beach Reserve,"Coffs Harbour, Australia",142.95-142.95 AUD
girl in red,Red Hot Summer Tour: ICEHOUSE,2025-02-08,12:30:00,Broadwater Parklands,"Southport, Australia",142.95-142.95 AUD
girl in red,Red Hot Summer Tour: ICEHOUSE,2025-02-15,12:30:00,Speers Point Park,"Speers Point, Australia",142.95-142.95 AUD
girl in red,Red Hot Summer Tour: ICEHOUSE,2025-02-22,12:30:00,Berry Showgrounds,"Berry, Australia",142.95-142.95 AUD
girl in red,Red Hot Summer Tour: ICEHOUSE,2025-03-22,12:30:00,Sandalford Wines - Swan Valley,"Caversham, Australia",142.95-142.95 AUD
girl in red,Red Hot Summer Tour: ICEHOUSE,2025-03-29,12:30:00,Gateway Lakes,"Wodonga, Australia",142.95-142.95 AUD
girl in red,Sounds by the River: Icehouse,2025-01-11,12:30:00,Mary Ann Reserve,"Mannum, Australia",142.95-142.95 AUD
girl in red,Indigo Girls,2024-12-03,19:30:00,Hackensack Meridian Health Theatre at the Count Basie Center ,"Red Bank, United States Of America",31.0-90.0 USD
The Marías,The Marías,2024-11-10,19:00:00,O2 Ritz Manchester,"Manchester, Great Britain",22.0-22.0 GBP
The Marías,The Marías + support,2024-11-04,19:00:00,Melkweg,"Amsterdam, Netherlands",26.45-26.45 EUR
The Marías,The Marias,2024-11-09,18:30:00,SWX,"Bristol, Great Britain",N/A
The Marías,Maria Somerville,2024-11-19,20:15:00,The Workmans Club,"Dublin, Ireland",22.0-22.0 EUR
The Marías,Maria Somerville,2024-11-27,19:30:00,Chats Palace Arts Centre,"London, Great Britain",N/A
The Marías,Maria Bamford,2024-12-06,19:30:00,Paramount Theatre,"Denver, United States Of America",29.5-49.5 USD
The Marías,Maria Bamford,2025-03-06,19:30:00,The Wilbur,"Boston, United States Of America",35.0-45.0 USD
The Marías,Maria Jose,2025-02-02,20:00:00,Orpheum Theatre,"Los Angeles, United States Of America",39.0-125.0 USD
The Marías,Maria Bamford,2024-11-22,19:30:00,Barrymore Theatre,"Madison, United States Of America",24.5-66.5 USD
The Marías,Maria Bamford,2025-01-25,19:30:00,Buckhead Theatre,"Atlanta, United States Of America",27.5-54.5 USD
The Marías,Maria Jose,2025-01-31,19:00:00,House of Blues Las Vegas ,"Las Vegas, United States Of America",29.5-59.5 USD
The Marías,Maria Jose,2025-02-01,19:00:00,The Magnolia,"El Cajon, United States Of America",49.0-89.0 USD
The Marías,Maria Bamford,2024-11-21,19:30:00,Coronado Theatre,"Rockford, United States Of America",27.5-54.5 USD
The Marías,Maria Jose,2025-01-30,20:00:00,Hard Rock Live Sacramento,"Wheatland, United States Of America",39.5-89.5 USD
The Marías,Maria Bamford,2025-04-25,19:30:00,Hoyt Sherman Place,"Des Moines, United States Of America",24.5-51.5 USD
The Marías,Maria Bamford,2025-01-10,19:30:00,Attucks Theatre,"Norfolk, United States Of America",26.5-56.5 USD
The Marías,Maria Bamford,2024-11-01,19:30:00,The Bell House,"Brooklyn, United States Of America",30.0-30.0 USD
The Marías,Maria Bamford,2024-11-01,22:00:00,The Bell House,"Brooklyn, United States Of America",30.0-30.0 USD
The Marías,Maria Bamford,2024-11-02,17:00:00,The Bell House,"Brooklyn, United States Of America",30.0-30.0 USD
The Marías,Maria Bamford,2024-11-02,19:30:00,The Bell House,"Brooklyn, United States Of America",30.0-30.0 USD
Chappell Roan,Chappell Roan Night,2024-11-08,22:00:00,The Park Theatre,"Winnipeg, Canada",27.18-27.18 CAD
Chappell Roan,CHAPPELL ROAN DANCE PARTY,2024-11-27,20:30:00,Crescent Ballroom,"Phoenix, United States Of America",10.0-10.0 USD
Chappell Roan,Chappell Roan Night ~ After Midnight,2024-11-22,21:00:00,The Pyramid Scheme,"Grand Rapids, United States Of America",19.0-19.0 USD
Chappell Roan,Pink Pony Club: Chappell Roan Night,2024-11-08,21:00:00,Knitting Factory - Boise,"Boise, United States Of America",20.0-48.0 USD
Chappell Roan,A Chappell Roan Party (Second Date),2024-12-28,22:00:00,Metropolis,"London, Great Britain",N/A
Chappell Roan, Hot to Go - Chappell Roan Dance Party,2024-11-29,22:30:00,Revolution Live,"Ft Lauderdale, United States Of America",18.0-18.0 USD
Chappell Roan,Hot To Go - The Chappell Roan Party,2024-11-29,22:00:00,Madame Lou's,"Seattle, United States Of America",17.0-17.0 USD
Chappell Roan,Pink Pony Club: A Chappell Roan Dance Night,2024-11-29,22:00:00,Thundercat Lounge,"Phoenix, United States Of America",5.0-90.0 USD
Chappell Roan,Hot To Go - A Chappell Roan Dance Party,2024-12-06,23:00:00,The Venice West,"Venice, United States Of America",20.82-24.17 USD
Chappell Roan,Hot To Go: CHAPPELL ROAN & FRIENDS DANCE PARTY #2,2024-11-09,23:00:00,Bar le Ritz PDB,"Montreal, Canada",N/A-N/A CAD
Chappell Roan,Club 90's presents: PINK PONY CLUB - CHAPPELL ROAN NIGHT,2024-10-19,21:00:00,Domino Room,"Bend, United States Of America",15.0-15.0 USD
Chappell Roan,Club 90's presents: Pink Pony Club - Chappell Roan Night,2024-10-25,21:30:00,The Song & Dance,"Syracuse, United States Of America",26.7-26.7 USD
Chappell Roan,"Club 90's presents - ""PINK PONY CLUB – CHAPPELL ROAN NIGHT""",2024-11-29,22:00:00,Manchester Music Hall,"Lexington, United States Of America",30.0-100.0 USD
Chappell Roan,Club 90's Presents: Chappell Roan Night - Pink Pony Club,2025-01-17,22:00:00,Pop's Concert Venue,"Sauget, United States Of America",20.0-35.0 USD
Chappell Roan,Hot To Go: CHAPPELL ROAN & FRIENDS DANCE PARTY – Drag: Gender Slay Quoi,2024-11-16,22:00:00,N/A,"N/A, N/A",N/A-N/A CAD
Chappell Roan,Club 90's presents - Chappell Roan Night - Pink Pony Club in West Palm Beach,2024-11-15,21:00:00,The Banyan Live,"West Palm Beach, United States Of America",15.0-15.0 USD
Chappell Roan,"Le Petite Fete Presents: ""Pink Pony Party"", A Chappell Roan & Friends Dance Party in Sanford",2024-11-01,20:00:00,Tuffy's Music Box,"Sanford, United States Of America",15.0-15.0 USD
Chappell Roan,"Le Petite Fete Presents: Pink Pony Party, A Chappell Roan and Friends Dance Night in Miami",2024-11-30,19:00:00,Gramps Wynwood,"Miami, United States Of America",0.0-0.0 USD
Chappell Roan,Austin City Limits Music Festival - Weekend Two,2024-10-11,N/A,Zilker Park,"Austin, United States Of America",N/A
Bad Gyal,III Points,2024-10-18,N/A,Mana Wynwood Convention Center,"Miami, United States Of America",N/A
USHER,USHER: Past Present Future,2024-10-22,20:00:00,Spectrum Center ,"Charlotte, United States Of America",49.5-299.5 USD
USHER,USHER: Past Present Future,2024-12-16,20:00:00,Kaseya Center,"Miami, United States Of America",44.75-244.75 USD
USHER,USHER: Past Present Future,2024-12-18,20:00:00,Kaseya Center,"Miami, United States Of America",44.75-244.75 USD
USHER,USHER: Past Present Future,2024-10-28,20:00:00,United Center,"Chicago, United States Of America",44.5-315.0 USD
USHER,USHER: Past Present Future,2024-10-23,20:00:00,Spectrum Center ,"Charlotte, United States Of America",49.5-299.5 USD
USHER,USHER: Past Present Future,2024-10-31,20:00:00,United Center,"Chicago, United States Of America",44.5-315.0 USD
USHER,USHER: Past Present Future,2024-10-29,20:00:00,United Center,"Chicago, United States Of America",44.5-315.0 USD
USHER,USHER: Past Present Future,2024-12-19,20:00:00,Kaseya Center,"Miami, United States Of America",44.75-244.75 USD
USHER,USHER,2024-10-16,20:00:00,State Farm Arena,"N/A, N/A",N/A
USHER,USHER,2024-10-17,20:00:00,State Farm Arena,"N/A, N/A",N/A
USHER,USHER,2024-10-17,20:00:00,State Farm Arena,"N/A, N/A",N/A
USHER,USHER,2024-10-18,20:00:00,State Farm Arena,"N/A, N/A",N/A
USHER,USHER,2024-10-18,20:00:00,State Farm Arena,"N/A, N/A",N/A
USHER,USHER,2024-10-20,20:00:00,State Farm Arena,"N/A, N/A",N/A
USHER,USHER,2024-10-20,20:00:00,State Farm Arena,"N/A, N/A",N/A
USHER,USHER,2024-11-07,20:00:00,ROGERS ARENA,"Vancouver, Can",N/A
USHER,USHER,2024-12-09,20:00:00,State Farm Arena,"N/A, N/A",N/A
USHER,USHER,2024-12-09,20:00:00,State Farm Arena,"N/A, N/A",N/A
USHER,USHER,2024-12-10,20:00:00,State Farm Arena,"N/A, N/A",N/A
USHER,USHER,2024-12-10,20:00:00,State Farm Arena,"N/A, N/A",N/A
Adele,"Adele - Tribute by Always, Adele",2024-11-16,20:00:00,Ivan'z House at Mozambique,"Laguna Beach, United States Of America",25.69-25.69 USD
Adele,Weekends with Adele,2024-10-25,20:00:00,The Colosseum at Caesars Palace,"Las Vegas, United States Of America",90.83-779.82 USD
Adele,Weekends with Adele,2024-10-26,20:00:00,The Colosseum at Caesars Palace,"Las Vegas, United States Of America",90.83-779.82 USD
Adele,Weekends with Adele,2024-11-01,20:00:00,The Colosseum at Caesars Palace,"Las Vegas, United States Of America",90.83-779.82 USD
Adele,Weekends with Adele,2024-11-02,20:00:00,The Colosseum at Caesars Palace,"Las Vegas, United States Of America",90.83-779.82 USD
Adele,Weekends with Adele,2024-11-08,20:00:00,The Colosseum at Caesars Palace,"Las Vegas, United States Of America",90.83-779.82 USD
Adele,Weekends with Adele,2024-11-09,20:00:00,The Colosseum at Caesars Palace,"Las Vegas, United States Of America",90.83-779.82 USD
Adele,Weekends with Adele,2024-11-15,20:00:00,The Colosseum at Caesars Palace,"Las Vegas, United States Of America",90.83-779.82 USD
Adele,Weekends with Adele,2024-11-16,20:00:00,The Colosseum at Caesars Palace,"Las Vegas, United States Of America",90.83-779.82 USD
Adele,Weekends with Adele,2024-11-22,20:00:00,The Colosseum at Caesars Palace,"Las Vegas, United States Of America",90.83-779.82 USD
Adele,Weekends with Adele,2024-11-23,20:00:00,The Colosseum at Caesars Palace,"Las Vegas, United States Of America",90.83-779.82 USD
Adele,Adele Givens,2025-02-21,19:00:00,Chicago Improv,"Schaumburg, United States Of America",33.0-33.0 USD
Adele,Adele Givens,2025-02-21,21:30:00,Chicago Improv,"Schaumburg, United States Of America",33.0-33.0 USD
Adele,Adele Givens,2025-02-22,21:30:00,Chicago Improv,"Schaumburg, United States Of America",33.0-33.0 USD
Adele,Adele Givens,2025-02-22,19:00:00,Chicago Improv,"Schaumburg, United States Of America",33.0-33.0 USD
Adele,Always Adele,2025-02-23,19:00:00,The Coach House,"San Juan Capistrano, United States Of America",33.44-33.44 USD
Adele,Adele Givens,2025-02-23,19:00:00,Chicago Improv,"Schaumburg, United States Of America",33.0-33.0 USD
Adele,EDELLE - a night about Adele,2025-03-19,20:00:00,N/A,"Buchholz, Germany",34.0-38.0 EUR
