artist,name,date,time,venue,location,price_range
Roger,Roger Clyne,2024-10-17,19:00:00,Magic Bag,"Ferndale, United States Of America",N/A
Roger,Roger Creager,2024-10-18,20:30:00,John T Floore Country Store,"Helotes, United States Of America",N/A
Roger,Roger Sanchez,2024-11-16,22:00:00,Bloom Nightclub,"San Diego, United States Of America",N/A
Roger,Roger Sanchez,2024-11-16,22:00:00,Bloom,"San Diego, United States Of America",14.95-14.95 USD
Roger,Roger Wilson & Chris Parkinson,2024-11-28,20:00:00,The Musician,"Leicester, Great Britain",N/A
Roger,Roger Clyne & the Peacemakers @ Rialto Theatre,2024-12-13,20:00:00,Rialto Theatre-Tucson,"Tucson, United States Of America",32.5-32.5 USD
Roger,Magic Bag Presents: Roger Clyne & The Peacemakers,2024-10-17,19:00:00,The Magic Bag,"Ferndale, United States Of America",30.0-35.0 USD
Roger,Roger Clyne & the Peacemakers w/ Bri Bagwell,2024-10-18,21:00:00,Rumba Cafe,"Columbus, United States Of America",25.0-25.0 USD
Roger,Roger Clyne & The Peacemakers with Bri Bagwell,2024-10-19,20:00:00,Joe's on Weed Street,"Chicago, United States Of America",20.0-20.0 USD
Roger,NFL Live with Commissioner Roger Goodell and special guests,2024-10-12,10:00:00,N/A,"N/A, N/A",N/A-N/A GBP
Roger,"SFC Final - Roger Casements, Portglenone v Erin's Own, Cargin",2024-10-13,15:00:00,N/A,"N/A, N/A",N/A-N/A GBP
Roger,"GINA T, LINDA JO RIZZO, ROGER MENO, LAROCHE VALMONT",2024-11-17,17:00:00,Garden Amphitheatre,"Garden Grove, United States Of America",48.08-53.23 USD
Roger,Vancouver Canucks vs. Pittsburgh Penguins,2024-10-26,19:00:00,Rogers Arena,"Vancouver, Canada",130.0-656.0 CAD
Roger,Vancouver Canucks vs. Chicago Blackhawks,2024-11-16,19:00:00,Rogers Arena,"Vancouver, Canada",150.0-1044.0 CAD
Roger,Vancouver Canucks vs. Boston Bruins,2024-12-14,19:00:00,Rogers Arena,"Vancouver, Canada",210.0-930.0 CAD
Roger,Vancouver Canucks vs. Chicago Blackhawks,2025-03-15,19:00:00,Rogers Arena,"Vancouver, Canada",264.0-1072.0 CAD
Roger,Edmonton Oilers vs. Chicago Blackhawks,2024-10-12,20:00:00,Rogers Place,"Edmonton, Canada",109.0-609.0 CAD
Roger,Edmonton Oilers vs. Pittsburgh Penguins,2024-10-25,19:00:00,Rogers Place,"Edmonton, Canada",80.0-448.0 CAD
Roger,Edmonton Oilers vs. Boston Bruins,2024-12-19,19:00:00,Rogers Place,"Edmonton, Canada",80.0-448.0 CAD
Roger,Vancouver Canucks vs. Detroit Red Wings,2025-02-02,17:00:00,Rogers Arena,"Vancouver, Canada",115.0-584.0 CAD
Luvcat,Luvcat,2024-11-11,19:00:00,Manchester The Deaf Institute.,"Manchester, Great Britain",12.0-12.0 GBP
Luvcat,Luvcat,2024-11-12,19:00:00,Green Door Store,"Brighton, Great Britain",11.0-11.0 GBP
Luvcat,FIRST FIFTY: Luvcat + TTSSFU + KEO,2024-11-13,19:00:00,Moth Club,"London, Great Britain",N/A-N/A GBP
Noah Kahan,INVICTUS GAMES Vancouver Whistler 2025 - Opening Ceremony ,2025-02-08,13:00:00,BC Place,"Vancouver, Canada",40.37-279.99 CAD
Noah Kahan,Life is a Carnival - A Musical Celebration of Robbie Robertson,2024-10-17,19:00:00,Kia Forum,"Inglewood, United States Of America",39.5-299.5 USD
Benson Boone,Benson Boone,2024-10-17,20:00:00,Ascend Amphitheater,"Nashville, United States Of America",45.0-99.5 USD
Benson Boone,Benson Boone,2024-10-21,20:00:00,Skyla Credit Union Amphitheatre,"Charlotte, United States Of America",39.5-99.5 USD
Benson Boone,Benson Boone,2024-10-24,19:30:00,The St. Augustine Amphitheatre,"St Augustine, United States Of America",52.0-107.0 USD
Benson Boone,Benson Boone,2024-10-16,20:00:00,Orion Amphitheater,"Huntsville, United States Of America",N/A
Benson Boone,Benson Boone,2024-11-17,19:00:00,3Olympia Theatre,"Dublin, Ireland",46.6-53.35 EUR
Benson Boone,Benson Boone,2024-11-19,19:00:00,O2 Academy Brixton,"London, Great Britain",0.0-45.0 GBP
Benson Boone,Benson Boone,2024-11-20,19:00:00,O2 Academy Brixton,"London, Great Britain",0.0-45.0 GBP
Benson Boone,Benson Boone,2025-01-16,20:00:00,Festival Hall Melbourne,"West Melbourne, Australia",85.9-85.9 AUD
Benson Boone,Benson Boone,2025-01-17,20:00:00,Festival Hall Melbourne,"West Melbourne, Australia",85.9-85.9 AUD
Benson Boone,Benson Boone,2025-01-22,18:00:00,Riverstage ,"Brisbane, Australia",99.9-99.9 AUD
Benson Boone,Benson Boone,2025-01-24,19:00:00,Spark Arena,"Auckland, New Zealand",106.8-106.8 NZD
Benson Boone,Benson Boone,2024-10-14,20:00:00,Walmart AMP,"Rogers, United States Of America",N/A
Benson Boone,Benson Boone,2024-10-16,20:00:00,Orion Amphitheater,"Huntsville, United States Of America",N/A
Benson Boone,Benson Boone,2024-10-17,20:00:00,Ascend Amp,"Nashville, United States Of America",N/A
Benson Boone,Benson Boone,2024-10-19,20:00:00,Virginia Credit Union LIVE!,"Richmond, United States Of America",N/A
Benson Boone,Benson Boone,2024-11-02,18:30:00,Vorst Nationaal/Forest National,"Vorst, Belgium",45.8-57.01 EUR
Benson Boone,Benson Boone,2024-11-11,20:00:00,N/A,"Amsterdam, Netherlands",52.0-52.0 EUR
Benson Boone,AO LIVE presents Benson Boone,2025-01-23,18:00:00,Melbourne Park,"Melbourne, Australia",139.0-139.0 AUD
Benson Boone,Benson Boone - Relocated to Riverstage on 22 January 2025,2025-01-22,18:00:00,The Tivoli,"Brisbane, Australia",74.9-74.9 AUD
Benson Boone,Alice 105.9s Alice in Winterland,2024-12-05,18:30:00,Fillmore Auditorium (Denver),"Denver, United States Of America",65.0-99.5 USD
Topic,DeLever APC Hot Topic Discussion Recording and Mind Maps,2024-01-16,21:30:00,N/A,"N/A, N/A",N/A-N/A GBP
LOS NIKIS,NIKI,2024-10-11,19:40:00,Greek Theatre,"Los Angeles, United States Of America",39.5-99.5 USD
LOS NIKIS,NIKI,2024-10-12,19:40:00,Greek Theatre,"Los Angeles, United States Of America",39.5-99.5 USD
Linkin Park,LINKIN PARK: From Zero World Tour,2024-11-08,18:00:00,Globe Life Field,"Arlington, United States Of America",65.5-199.5 USD
Linkin Park,Linkin Park By Meteora,2025-04-11,20:00:00,"The Georgian Theatre, Stockton-on-Tees","Stockton-on-Tees, Great Britain",N/A
Linkin Park,Boozy Brunch ( LINKIN PARK),2024-10-13,11:00:00,The Winchester,"Lakewood, United States Of America",0.0-0.0 USD
Linkin Park,Hybrid Theory (Linkin Park Tribute),2024-11-13,19:30:00,Northcote Theatre,"Northcote, Australia",N/A
Linkin Park,Hybrid Theory (Linkin Park Tribute),2024-11-15,19:30:00,Northcote Theatre,"Northcote, Australia",N/A
Linkin Park,In the End - Linkin Park Experience,2024-10-13,18:00:00,House of Blues Myrtle Beach,"North Myrtle Beach, United States Of America",17.5-17.5 USD
Linkin Park,In the End - Linkin Park Experience,2025-01-24,18:00:00,Marquee Theatre,"Tempe, United States Of America",18.0-18.0 USD
Linkin Park,In The End - Tribute to Linkin Park,2024-11-15,19:00:00,Riverside Municipal Auditorium,"Riverside, United States Of America",18.0-22.0 USD
