artist,name,date,time,venue,location,price_range,source_date,city,country,min_price_EUR,max_price_EUR
Anuel AA,Anuel AA - Real Hasta La Muerte 2,05-12-2024,20:00:00,Desert Diamond Arena,"Glendale, United States Of America",61.0-181.0 USD,20241011,Glendale,United States Of America,57.95,171.95
Anuel AA,Anuel AA - Real Hasta La Muerte 2,15-12-2024,20:00:00,SAP Center at San Jose,"San Jose, United States Of America",61.0-191.0 USD,20241011,San Jose,United States Of America,57.95,181.45
Anuel AA,Anuel AA - Real Hasta La Muerte 2,12-12-2024,20:00:00,Toyota Arena,"Ontario, United States Of America",59.0-179.0 USD,20241011,Ontario,United States Of America,56.05,170.05
Anuel AA,Anuel AA- REAL HASTA LA MUERTE 2,01-12-2024,20:00:00,Payne Arena,"Hidalgo, United States Of America",69.0-189.0 USD,20241011,Hidalgo,United States Of America,65.55,179.55
Anuel AA,Anuel AA - Real Hasta La Muerte 2,08-12-2024,20:00:00,Honda Center,"Anaheim, United States Of America",66.0-196.0 USD,20241011,Anaheim,United States Of America,62.7,186.2
Anuel AA,Suites: Anuel AA: Real Hasta La Muerta 2,27-11-2024,20:00:00,Dickies Arena,"Fort Worth, United States Of America",16.0-108.9 USD,20241011,Fort Worth,United States Of America,15.2,103.45
Anuel AA,SAP Center Suites And Penthouse Lounge Anuel AA,15-12-2024,20:00:00,SAP Center at San Jose,"San Jose, United States Of America",385.0-385.0 USD,20241011,San Jose,United States Of America,365.75,365.75
Anuel AA,Suites - Anuel Aa - Real Hasta La Muerte 2,08-12-2024,20:00:00,HONDA Center Suites,"Anaheim, United States Of America",,20241011,Anaheim,United States Of America,,
Anuel AA,Premium Club Seats - Anuel AA - Real Hasta La Muerte 2,08-12-2024,20:00:00,Honda Center,"Anaheim, United States Of America",,20241011,Anaheim,United States Of America,,
Anuel AA,Diamond Status - Anuel AA,05-12-2024,20:00:00,Desert Diamond Arena,"Glendale, United States Of America",60.0-60.0 USD,20241011,Glendale,United States Of America,57.0,57.0
Ayra Starr,Coldplay - Music Of The Spheres World Tour - Delivered by DHL,30-10-2024,17:00:00,Marvel Stadium,"Docklands, Australia",0.0-1233.33 AUD,20241011,Docklands,Australia,0.0,740.0
Ayra Starr,Coldplay - Music Of The Spheres World Tour - Delivered by DHL,31-10-2024,17:00:00,Marvel Stadium,"Docklands, Australia",0.0-1233.33 AUD,20241011,Docklands,Australia,0.0,740.0
Ayra Starr,Coldplay - Music Of The Spheres World Tour - Delivered by DHL,02-11-2024,17:00:00,Marvel Stadium,"Docklands, Australia",0.0-1233.33 AUD,20241011,Docklands,Australia,0.0,740.0
Ayra Starr,Coldplay - Music Of The Spheres World Tour - Delivered by DHL,03-11-2024,17:00:00,Marvel Stadium,"Docklands, Australia",0.0-1233.33 AUD,20241011,Docklands,Australia,0.0,740.0
Ayra Starr,Coldplay - Music Of The Spheres World Tour - Delivered by DHL,13-11-2024,17:00:00,Eden Park,"Auckland, New Zealand",0.0-1237.0 NZD,20241011,Auckland,New Zealand,0.0,705.09
Ayra Starr,Coldplay - Music Of The Spheres World Tour - Delivered by DHL,15-11-2024,17:00:00,Eden Park,"Auckland, New Zealand",0.0-1237.0 NZD,20241011,Auckland,New Zealand,0.0,705.09
Ayra Starr,Coldplay - Music Of The Spheres World Tour - Delivered by DHL,16-11-2024,17:00:00,Eden Park,"Auckland, New Zealand",0.0-1237.0 NZD,20241011,Auckland,New Zealand,0.0,705.09
Madison Beer,103.5 KISS FM's Jingle Ball Presented by Capital One,09-12-2024,19:00:00,Allstate Arena,"Rosemont, United States Of America",25.0-250.0 USD,20241011,Rosemont,United States Of America,23.75,237.5
Madison Beer,Channel 95.5's Jingle Ball Presented By Capital One,10-12-2024,19:30:00,Little Caesars Arena,"Detroit, United States Of America",35.0-300.0 USD,20241011,Detroit,United States Of America,33.25,285.0
Madison Beer,106.1 KISS FM's Jingle Ball Presented by Capital One,03-12-2024,19:30:00,Dickies Arena,"Fort Worth, United States Of America",28.5-386.0 USD,20241011,Fort Worth,United States Of America,27.07,366.7
Madison Beer,102.7 KIIS FMs Jingle Ball Presented by Capital One,06-12-2024,19:30:00,Intuit Dome,"Inglewood, United States Of America",43.5-758.5 USD,20241011,Inglewood,United States Of America,41.32,720.57
Madison Beer,Z100's Jingle Ball Presented by Capital One,13-12-2024,19:00:00,Madison Square Garden,"New York, United States Of America",53.0-983.0 USD,20241011,New York,United States Of America,50.35,933.85
24kGoldn,Chase Atlantic - Live In North America,01-11-2024,20:00:00,MGM Music Hall at Fenway,"Boston, United States Of America",35.5-75.5 USD,20241011,Boston,United States Of America,33.73,71.72
24kGoldn,Chase Atlantic - Live In North America,16-10-2024,20:00:00,The Pavilion at Toyota Music Factory,"Irving, United States Of America",50.5-65.5 USD,20241011,Irving,United States Of America,47.97,62.22
24kGoldn,Chase Atlantic - Live In North America,28-10-2024,20:00:00,Barclays Center,"Brooklyn, United States Of America",40.5-80.5 USD,20241011,Brooklyn,United States Of America,38.48,76.47
24kGoldn,Chase Atlantic - Live In North America,20-10-2024,20:00:00,Hard Rock Live Orlando,"Orlando, United States Of America",47.5-72.5 USD,20241011,Orlando,United States Of America,45.12,68.88
24kGoldn,Chase Atlantic - Live In North America,26-10-2024,20:00:00,Red Hat Amphitheater,"Raleigh, United States Of America",35.5-55.5 USD,20241011,Raleigh,United States Of America,33.73,52.72
24kGoldn,Chase Atlantic - Live In North America,23-10-2024,20:00:00,Coca-Cola Roxy,"Atlanta, United States Of America",50.5-75.5 USD,20241011,Atlanta,United States Of America,47.97,71.72
24kGoldn,Chase Atlantic - Live In North America,27-10-2024,20:00:00,The Anthem,"Washington, United States Of America",50.5-75.0 USD,20241011,Washington,United States Of America,47.97,71.25
24kGoldn,Chase Atlantic - Live In North America,30-10-2024,20:00:00,The Met Presented by Highmark,"Philadelphia, United States Of America",35.5-75.5 USD,20241011,Philadelphia,United States Of America,33.73,71.72
24kGoldn,Chase Atlantic - Live In North America,08-11-2024,20:00:00,Byline Bank Aragon Ballroom,"Chicago, United States Of America",50.5-50.5 USD,20241011,Chicago,United States Of America,47.97,47.97
24kGoldn,Chase Atlantic - Live In North America,16-11-2024,20:00:00,Arizona Financial Theatre,"Phoenix, United States Of America",50.5-60.5 USD,20241011,Phoenix,United States Of America,47.97,57.47
24kGoldn,Chase Atlantic - Live In North America,19-11-2024,19:00:00,Hollywood Palladium,"Hollywood, United States Of America",50.5-75.5 USD,20241011,Hollywood,United States Of America,47.97,71.72
24kGoldn,Chase Atlantic - Live In North America,24-10-2024,20:00:00,Nashville Municipal Auditorium,"Nashville, United States Of America",40.5-65.5 USD,20241011,Nashville,United States Of America,38.48,62.22
24kGoldn,Chase Atlantic - Live In North America,09-11-2024,19:00:00,Fillmore Minneapolis presented by Affinity Plus,"Minneapolis, United States Of America",55.5-75.5 USD,20241011,Minneapolis,United States Of America,52.72,71.72
24kGoldn,Chase Atlantic - Live In North America,06-11-2024,19:00:00,The Fillmore Detroit,"Detroit, United States Of America",35.5-75.5 USD,20241011,Detroit,United States Of America,33.73,71.72
24kGoldn,Chase Atlantic - Live In North America,12-11-2024,18:30:00,Fillmore Auditorium (Denver),"Denver, United States Of America",40.5-59.5 USD,20241011,Denver,United States Of America,38.48,56.52
24kGoldn,Chase Atlantic - Live In North America,20-11-2024,19:00:00,Hollywood Palladium,"Hollywood, United States Of America",50.5-75.5 USD,20241011,Hollywood,United States Of America,47.97,71.72
24kGoldn,Chase Atlantic - Live In North America,03-11-2024,20:00:00,MTELUS,"Montreal, Canada",55.5-200.5 CAD,20241011,Montreal,Canada,38.29,138.34
24kGoldn,Chase Atlantic - Live In North America,05-11-2024,20:00:00,The Theatre at Great Canadian Casino Resort Toronto,"Toronto, Canada",69.5-85.0 CAD,20241011,Toronto,Canada,47.95,58.65
Feid,Feid Night Reggaeton Costume Party,27-10-2024,22:00:00,,"N/A, N/A",N/A-N/A USD,20241011,N/A,N/A,,
Feid,iHeartRadio Fiesta Latina,26-10-2024,20:00:00,Kaseya Center,"Miami, United States Of America",29.0-299.0 USD,20241011,Miami,United States Of America,27.55,284.05
Tiakola,Tiakola,24-02-2025,19:00:00,Irving Plaza Powered By Verizon 5G,"New York, United States Of America",30.0-65.0 USD,20241011,New York,United States Of America,28.5,61.75
Tiakola,Tiakola,01-03-2025,20:00:00,The Regent Theater,"Los Angeles, United States Of America",30.0-30.0 USD,20241011,Los Angeles,United States Of America,28.5,28.5
Tiakola,Tiakola,13-02-2025,19:00:00,Roundhouse,"London, Great Britain",29.5-29.5 GBP,20241011,London,Great Britain,34.22,34.22
Tiakola,Tiakola,20-02-2025,20:00:00,Place Bell,"Laval, Can",,20241011,Laval,Can,,
Tiakola,Tiakola,28-02-2025,20:00:00,Cornerstone - CA,"Berkeley, United States Of America",,20241011,Berkeley,United States Of America,,
Tiakola,Tiakola,11-04-2025,20:00:00,Rockhal Box,"Esch-sur-Alzette, Luxembourg",,20241011,Esch-sur-Alzette,Luxembourg,,
Tiakola,TIAKOLA - M3LO WORLD TOUR,20-02-2025,20:00:00,Place Bell,"Laval, Canada",48.75-73.75 CAD,20241011,Laval,Canada,33.64,50.89
Tiakola,Tiakola with Special Guests,22-02-2025,20:00:00,The Concert Hall,"Toronto, Canada",52.81-95.01 CAD,20241011,Toronto,Canada,36.44,65.56
The Weeknd,Club 90s Presents: the Weeknd Night,19-10-2024,20:00:00,White Oak Music Hall - Downstairs,"Houston, United States Of America",20.0-20.0 USD,20241011,Houston,United States Of America,19.0,19.0
Rod Wave,Rod Wave - Last Lap Tour,18-11-2024,19:00:00,United Center,"Chicago, United States Of America",54.5-244.5 USD,20241011,Chicago,United States Of America,51.77,232.27
Rod Wave,Rod Wave - Last Lap Tour,13-11-2024,19:00:00,Little Caesars Arena,"Detroit, United States Of America",44.5-244.5 USD,20241011,Detroit,United States Of America,42.27,232.27
Rod Wave,Rod Wave - Last Lap Tour,01-11-2024,19:30:00,American Airlines Center,"Dallas, United States Of America",59.5-249.5 USD,20241011,Dallas,United States Of America,56.52,237.02
Rod Wave,Rod Wave - Last Lap Tour,13-12-2024,19:00:00,Smoothie King Center,"New Orleans, United States Of America",54.5-244.5 USD,20241011,New Orleans,United States Of America,51.77,232.27
Rod Wave,Rod Wave - Last Lap Tour,17-12-2024,19:00:00,Kia Center,"Orlando, United States Of America",55.5-245.0 USD,20241011,Orlando,United States Of America,52.72,232.75
Rod Wave,Rod Wave - Last Lap Tour,30-11-2024,19:00:00,Wells Fargo Center,"Philadelphia, United States Of America",59.5-249.5 USD,20241011,Philadelphia,United States Of America,56.52,237.02
Rod Wave,Rod Wave - Last Lap Tour,05-12-2024,19:30:00,State Farm Arena,"Atlanta, United States Of America",59.5-249.5 USD,20241011,Atlanta,United States Of America,56.52,237.02
Rod Wave,Rod Wave - Last Lap Tour,24-11-2024,19:00:00,Capital One Arena,"Washington, United States Of America",54.5-244.5 USD,20241011,Washington,United States Of America,51.77,232.27
Rod Wave,Rod Wave - Last Lap Tour,20-10-2024,19:30:00,Intuit Dome,"Inglewood, United States Of America",59.5-249.5 USD,20241011,Inglewood,United States Of America,56.52,237.02
Rod Wave,Rod Wave,20-10-2024,19:30:00,Intuit Dome,"Inglewood, United States Of America",,20241011,Inglewood,United States Of America,,
Rod Wave,ROD WAVE,25-10-2024,19:30:00,Golden 1 Center,"Sacramento, United States Of America",,20241011,Sacramento,United States Of America,,
Rod Wave,Rod Wave,31-10-2024,19:30:00,Toyota Center - TX,"Houston, United States Of America",,20241011,Houston,United States Of America,,
Rod Wave,Rod Wave,06-11-2024,19:30:00,Paycom Center,"Oklahoma City, United States Of America",,20241011,Oklahoma City,United States Of America,,
Rod Wave,Rod Wave,09-11-2024,19:30:00,FedExForum,"Memphis, United States Of America",,20241011,Memphis,United States Of America,,
Rod Wave,Rod Wave,13-11-2024,19:00:00,Little Caesars Arena,"Detroit, United States Of America",,20241011,Detroit,United States Of America,,
Hi-Tech,Nia Archives,31-10-2024,18:00:00,NX,"Newcastle Upon Tyne, Great Britain",,20241011,Newcastle Upon Tyne,Great Britain,,
Hi-Tech,Nia Archives,08-11-2024,19:00:00,O2 Academy Brixton,"London, Great Britain",0.0-35.25 GBP,20241011,London,Great Britain,0.0,40.89
Hi-Tech,Show Me the Body,27-10-2024,18:00:00,The Masquerade - Heaven,"Atlanta, United States Of America",28.0-28.0 USD,20241011,Atlanta,United States Of America,26.6,26.6
Hi-Tech,Show Me the Body,02-11-2024,18:00:00,Knockdown Center,"Queens, United States Of America",,20241011,Queens,United States Of America,,
Hi-Tech,Show Moved - Show Me The Body,16-10-2024,18:00:00,The Observatory,"Santa Ana, United States Of America",29.5-29.5 USD,20241011,Santa Ana,United States Of America,28.02,28.02
Hi-Tech,VIVA PHX 2024,19-10-2024,13:00:00,The Van Buren,"Phoenix, United States Of America",N/A-N/A USD,20241011,Phoenix,United States Of America,,
Snoop Dogg,Snoop Dogg,27-12-2024,20:00:00,The Venue at Thunder Valley Casino Resort,"Lincoln, United States Of America",204.95-499.95 USD,20241011,Lincoln,United States Of America,194.7,474.95
Jazzy,Jazzy,22-11-2024,21:30:00,The Telegraph Building,"Belfast, Great Britain",30.0-30.0 GBP,20241011,Belfast,Great Britain,34.8,34.8
Jazzy,Jazzy,23-11-2024,23:00:00,Electric Brixton,"London, Great Britain",,20241011,London,Great Britain,,
Jazzy,Jazzy,23-11-2024,23:00:00,Electric Brixton,"London, Great Britain",23.15-28.65 GBP,20241011,London,Great Britain,26.85,33.23
Jazzy,A Jazzy Christmas Show,14-12-2024,20:00:00,Attucks Theatre,"Norfolk, United States Of America",55.0-95.0 USD,20241011,Norfolk,United States Of America,52.25,90.25
Jazzy,Jazzy Pizza Workshop Food Tour,27-10-2024,11:00:00,,"N/A, N/A",N/A-N/A EUR,20241011,N/A,N/A,,
Jazzy,Jazzy Pizza Workshop Food Tour,27-10-2024,13:00:00,,"N/A, N/A",N/A-N/A EUR,20241011,N/A,N/A,,
Jazzy,"Ayşegül & Nezih Yeşilnil Quintet ""Jazzy, Rocky, Funky""",11-10-2024,19:00:00,Akbank Sanat,"İstanbul, Turkey",,20241011,İstanbul,Turkey,,
Jazzy,Jazzy Sundaze Presents; Ayhan Sicimoğlu ve & Latin All Stars,13-10-2024,14:00:00,Swissotel The Bosphorus,"İstanbul, Turkey",,20241011,İstanbul,Turkey,,
Jazzy,Ernie Haase & Signature Sound in “A Jazzy Little Christmas”,02-12-2024,19:00:00,Birdland Jazz Club,"New York, United States Of America",45.76-45.76 USD,20241011,New York,United States Of America,43.47,43.47
IONA,Iona Lane,29-05-2025,20:00:00,Kendal Brewery Arts Centre,"Cumbria, Great Britain",,20241011,Cumbria,Great Britain,,
IONA,Sacred Heart vs. Iona,06-12-2024,21:00:00,William H. Pitt Center,"Fairfield, United States Of America",,20241011,Fairfield,United States Of America,,
IONA,Siena Saints vs. Iona,05-01-2025,14:00:00,MVP Arena,"N/A, N/A",,20241011,N/A,N/A,,
IONA,Sacred Heart vs. Iona,08-03-2025,16:00:00,William H. Pitt Center,"Fairfield, United States Of America",,20241011,Fairfield,United States Of America,,
IONA,Canisius University Women's Basketball vs. Iona,16-01-2025,18:00:00,Koessler Athletic Center At Canisius University,"Buffalo, United States Of America",10.0-10.0 USD,20241011,Buffalo,United States Of America,9.5,9.5
IONA,Canisius University Men's Basketball vs. Iona,02-03-2025,13:00:00,Koessler Athletic Center At Canisius University,"Buffalo, United States Of America",15.0-50.0 USD,20241011,Buffalo,United States Of America,14.25,47.5
IONA,Iona College Gaels Womens Basketball,10-11-2024,,Hynes Athletics Center,"New Rochelle, United States Of America",,20241011,New Rochelle,United States Of America,,
IONA,Siena Saints vs Iona Gaels,05-01-2025,14:00:00,MVP Arena,"N/A, N/A",,20241011,N/A,N/A,,
IONA,Niagara Men's Basketball Purple Eagles v. Iona,28-02-2025,18:30:00,Niagara University Gallagher Center,"Niagara University, United States Of America",12.0-35.0 USD,20241011,Niagara University,United States Of America,11.4,33.25
IONA,Siena Saints Mens Basketball vs. Iona Mens Basketball,05-01-2025,14:00:00,MVP Arena,"Albany, United States Of America",11.0-30.0 USD,20241011,Albany,United States Of America,10.45,28.5
IONA,Princeton Tigers Mens Basketball vs. Iona College Gaels Mens Basketball,04-11-2024,19:00:00,L. Stockwell Jadwin Gymnasium,"Princeton, United States Of America",,20241011,Princeton,United States Of America,,
IONA,Iona College Gaels Mens Basketball vs. Vermont Catamounts Mens Basketball,15-11-2024,19:00:00,Hynes Athletics Center,"New Rochelle, United States Of America",,20241011,New Rochelle,United States Of America,,
IONA,Iona College Gaels Mens Basketball vs. Harvard Crimson Mens Basketball,29-12-2024,13:00:00,Hynes Athletics Center,"New Rochelle, United States Of America",,20241011,New Rochelle,United States Of America,,
IONA,Iona College Gaels Womens Basketball vs. Siena Saints Womens Basketball,04-01-2025,13:00:00,Hynes Athletics Center,"New Rochelle, United States Of America",,20241011,New Rochelle,United States Of America,,
IONA,Iona College Gaels Mens Basketball vs. Quinnipiac Bobcats Mens Basketball,12-01-2025,13:00:00,Hynes Athletics Center,"New Rochelle, United States Of America",,20241011,New Rochelle,United States Of America,,
IONA,Iona College Gaels Womens Basketball vs. Rider Broncs Womens Basketball,23-01-2025,11:00:00,Hynes Athletics Center,"New Rochelle, United States Of America",,20241011,New Rochelle,United States Of America,,
IONA,Iona College Gaels Mens Basketball vs. Siena Saints Mens Basketball,25-01-2025,13:00:00,Hynes Athletics Center,"New Rochelle, United States Of America",,20241011,New Rochelle,United States Of America,,
IONA,Iona College Gaels Womens Basketball vs. Manhattan Jaspers Womens Basketball,30-01-2025,18:00:00,Hynes Athletics Center,"New Rochelle, United States Of America",,20241011,New Rochelle,United States Of America,,
IONA,Iona College Gaels Mens Basketball vs. Rider Broncs Mens Basketball,14-02-2025,19:00:00,Hynes Athletics Center,"New Rochelle, United States Of America",,20241011,New Rochelle,United States Of America,,
IONA,Iona College Gaels Womens Basketball vs. Quinnipiac Bobcats Womens Basketball,15-02-2025,13:00:00,Hynes Athletics Center,"New Rochelle, United States Of America",,20241011,New Rochelle,United States Of America,,
Beyoncé,Class with a Glass: Beyoncé Boot Camp,27-10-2024,12:30:00,Tuffy's Music Box,"Sanford, United States Of America",15.0-15.0 USD,20241011,Sanford,United States Of America,14.25,14.25
Beyoncé,Beyonce special,12-10-2024,20:30:00,,"N/A, N/A",N/A-N/A GBP,20241011,N/A,N/A,,
Beyoncé,Beyonce Tribute Show,12-10-2024,20:30:00,,"N/A, N/A",N/A-N/A GBP,20241011,N/A,N/A,,
Beyoncé,St. Louis Symphony Orchestra: Beethoven X Beyonce,31-01-2025,19:30:00,Stifel Theatre,"Saint Louis, United States Of America",42.0-85.0 USD,20241011,Saint Louis,United States Of America,39.9,80.75
Dani Martín,Christmas Comedy Special - Nottingham - 7pm show,13-12-2024,19:00:00,Metronome Nottingham,"Nottingham, Great Britain",N/A-N/A GBP,20241011,Nottingham,Great Britain,,
Dani Martín,Christmas Comedy Special - Nottingham - 9pm show,13-12-2024,21:00:00,Metronome Nottingham,"Nottingham, Great Britain",N/A-N/A GBP,20241011,Nottingham,Great Britain,,
Dani Martín,Christmas Comedy Special - Nottingham - 7pm show,14-12-2024,19:00:00,Metronome Nottingham,"Nottingham, Great Britain",N/A-N/A GBP,20241011,Nottingham,Great Britain,,
Dani Martín,Christmas Comedy Special - Nottingham - 9pm show,14-12-2024,21:00:00,Metronome Nottingham,"Nottingham, Great Britain",N/A-N/A GBP,20241011,Nottingham,Great Britain,,
Hector & Tito,Hector Gonz,26-10-2024,19:00:00,La Rumba,"Denver, United States Of America",25.18-25.18 USD,20241011,Denver,United States Of America,23.92,23.92
Hector & Tito,"THE ROCKENING (2nd Night): El Vez y Hector Presenté ZEROS '77, HEAD, SICK THOUGHTS, FAT SAVAGE & THE LUXURIOUS FAUX FURS",22-11-2024,20:30:00,Santos Bar,"New Orleans, United States Of America",20.0-20.0 USD,20241011,New Orleans,United States Of America,19.0,19.0
The Goo Goo Dolls,Rock 2 Freedom Benefit Concert,12-10-2024,17:30:00,House of Blues Anaheim,"Anaheim, United States Of America",N/A-N/A USD,20241011,Anaheim,United States Of America,,
Airbag,AirBag,06-11-2024,20:30:00,El Lunario del Auditorio Nacional,"Ciudad de México, Mexico",700.0-700.0 MXN,20241011,Ciudad de México,Mexico,33.6,33.6
Airbag,Airbag,17-10-2024,20:00:00,Stary Maneż,"Gdansk, Poland",166.95-208.95 PLN,20241011,Gdansk,Poland,36.73,45.97
Airbag,Airbag,18-10-2024,20:00:00,Klub Progresja,"Warsaw, Poland",159.0-159.0 PLN,20241011,Warsaw,Poland,34.98,34.98
Airbag,Airbag,19-10-2024,20:00:00,Klub Kwadrat,"Krakow, Poland",159.0-159.0 PLN,20241011,Krakow,Poland,34.98,34.98
Joe,Joe,07-12-2024,19:00:00,Hard Rock Live Northern Indiana,"Gary, United States Of America",69.0-125.0 USD,20241011,Gary,United States Of America,65.55,118.75
Joe,Joe Bonamassa,02-11-2024,20:00:00,Arizona Financial Theatre,"Phoenix, United States Of America",53.0-253.0 USD,20241011,Phoenix,United States Of America,50.35,240.35
Joe,Joe Bonamassa,15-03-2025,20:00:00,The St. Augustine Amphitheatre,"St Augustine, United States Of America",46.5-256.5 USD,20241011,St Augustine,United States Of America,44.17,243.67
Joe,Joe Bonamassa,03-11-2024,20:00:00,Terrace Theater - Long Beach Convention and Entertainment Center,"Long Beach, United States Of America",49.0-249.0 USD,20241011,Long Beach,United States Of America,46.55,236.55
Joe,Joe Bonamassa,21-02-2025,20:00:00,The Chicago Theatre,"Chicago, United States Of America",43.0-253.0 USD,20241011,Chicago,United States Of America,40.85,240.35
Joe,Joe Bonamassa,09-11-2024,20:00:00,Grand Sierra Resort and Casino,"Reno, United States Of America",59.0-199.0 USD,20241011,Reno,United States Of America,56.05,189.05
Joe,Tamia & Joe,16-11-2024,20:00:00,NRG Arena,"Houston, United States Of America",59.0-250.0 USD,20241011,Houston,United States Of America,56.05,237.5
Joe,Joe Bonamassa,16-02-2025,19:30:00,Climate Pledge Arena,"Seattle, United States Of America",49.0-249.0 USD,20241011,Seattle,United States Of America,46.55,236.55
Joe,Joe Bonamassa,07-11-2024,20:00:00,San Jose Civic,"San Jose, United States Of America",72.5-252.5 USD,20241011,San Jose,United States Of America,68.88,239.88
Joe,Tamia & Joe,15-11-2024,20:00:00,UNO Lakefront Arena,"New Orleans, United States Of America",59.0-250.0 USD,20241011,New Orleans,United States Of America,56.05,237.5
Joe,Joe Bonamassa,01-11-2024,20:00:00,Linda Ronstadt Music Hall,"Tucson, United States Of America",69.0-199.0 USD,20241011,Tucson,United States Of America,65.55,189.05
Joe,Joe Bonamassa,08-11-2024,20:00:00,SAFE Credit Union Performing Arts Center,"Sacramento, United States Of America",63.0-253.0 USD,20241011,Sacramento,United States Of America,59.85,240.35
Joe,Joe Bonamassa,01-03-2025,20:00:00,Premier Theater at Foxwoods Resort Casino,"Ledyard, United States Of America",69.0-249.0 USD,20241011,Ledyard,United States Of America,65.55,236.55
Joe,Joe Bonamassa,05-11-2024,20:00:00,San Diego Civic Theatre,"San Diego, United States Of America",72.5-252.5 USD,20241011,San Diego,United States Of America,68.88,239.88
Joe,Joe Bonamassa,28-02-2025,20:00:00,MGM Music Hall at Fenway,"Boston, United States Of America",52.0-252.0 USD,20241011,Boston,United States Of America,49.4,239.4
Joe,Tamia & Joe,19-10-2024,20:00:00,Addition Financial Arena,"Orlando, United States Of America",59.0-250.0 USD,20241011,Orlando,United States Of America,56.05,237.5
Joe,Joe Bonamassa,07-03-2025,21:00:00,Harrah's Cherokee Resort Event Center,"Cherokee, United States Of America",99.5-149.5 USD,20241011,Cherokee,United States Of America,94.52,142.03
Joe,Tamia & Joe,18-10-2024,20:00:00,Savannah Civic Center - Johnny Mercer Theatre,"Savannah, United States Of America",59.0-175.0 USD,20241011,Savannah,United States Of America,56.05,166.25
Joe,Joe Bonamassa,19-11-2024,20:00:00,Park City Arena,"Park City, United States Of America",49.0-179.0 USD,20241011,Park City,United States Of America,46.55,170.05
Joe,Tamia & Joe,21-02-2025,20:00:00,Colonial Life Arena,"Columbia, United States Of America",62.0-253.0 USD,20241011,Columbia,United States Of America,58.9,240.35
Swallow,Swallow the Sun,23-02-2025,17:30:00,Brighton Music Hall presented by Citizens,"Boston, United States Of America",20.0-20.0 USD,20241011,Boston,United States Of America,19.0,19.0
Swallow,Swallow the Sun,24-02-2025,17:30:00,Gramercy Theatre,"New York, United States Of America",20.0-40.0 USD,20241011,New York,United States Of America,19.0,38.0
Swallow,Swallow the Sun,25-02-2025,18:30:00,Baltimore Soundstage,"Baltimore, United States Of America",20.0-20.0 USD,20241011,Baltimore,United States Of America,19.0,19.0
Swallow,Swallow the Sun,02-03-2025,18:00:00,The Bronze Peacock at House of Blues Houston,"Houston, United States Of America",20.0-20.0 USD,20241011,Houston,United States Of America,19.0,19.0
Swallow,Swallow the Sun,21-02-2025,17:30:00,Velvet Underground,"Toronto, Canada",29.5-30.0 CAD,20241011,Toronto,Canada,20.35,20.7
Swallow,Swallow the Sun,13-03-2025,18:30:00,Bluebird Theatre,"Denver, United States Of America",,20241011,Denver,United States Of America,,
Swallow,Swallow the Sun w/ Harakiri for the Sky,15-03-2025,19:00:00,Reggie's Rock Club,"Chicago, United States Of America",,20241011,Chicago,United States Of America,,
Swallow,"Swallow the Sun, Harakiri for the Sky, Snakes of Russia, Tba",15-03-2025,19:00:00,Reggie's Rock Club,"Chicago, United States Of America",,20241011,Chicago,United States Of America,,
Swallow,Swallow the Sun with special guests at Brick by Brick,06-03-2025,18:30:00,Brick By Brick,"San Diego, United States Of America",32.36-32.36 USD,20241011,San Diego,United States Of America,30.74,30.74
Swallow,Swallow the Sun / Harakiri for the Sky / Ghost Bath / Snakes of Russia,07-03-2025,17:30:00,Echoplex,"Los Angeles, United States Of America",25.0-25.0 USD,20241011,Los Angeles,United States Of America,23.75,23.75
Swallow,"Swallow The Sun, Harakiri For The Sky, Ghost Bath, Snakes of Russia",20-02-2025,18:00:00,The Sanctuary Detroit,"Hamtramck, United States Of America",20.0-20.0 USD,20241011,Hamtramck,United States Of America,19.0,19.0
Swallow,Swallow The Sun/ Harakiri For The Sky/ Ghost Bath/ Snakes Of Russia,08-03-2025,18:30:00,Neck of the Woods,"San Francisco, United States Of America",24.66-24.66 USD,20241011,San Francisco,United States Of America,23.43,23.43
Swallow,"Swallow the Sun, Harakiri for the Sky, Ghost Bath, and Snakes of Russia in Orlando",28-02-2025,19:00:00,Conduit,"Winter Park, United States Of America",0.0-0.0 USD,20241011,Winter Park,United States Of America,0.0,0.0
Maria Becerra,Maria Becerra,25-10-2024,19:30:00,The Sound,"Del Mar, United States Of America",,20241011,Del Mar,United States Of America,,
Maria Becerra,Maria Becerra - TOUR24,02-11-2024,19:00:00,White Oak Music Hall - Downstairs,"Houston, United States Of America",44.5-44.5 USD,20241011,Houston,United States Of America,42.27,42.27
Maria Becerra,Maria Becerra - TOUR24,25-10-2024,19:30:00,The Sound,"Del Mar, United States Of America",45.0-60.0 USD,20241011,Del Mar,United States Of America,42.75,57.0
Maria Becerra,María Becerra,04-01-2025,21:00:00,WiZink Center,"Madrid, Spain",35.0-95.0 EUR,20241011,Madrid,Spain,35.0,95.0
Maria Becerra,María Becerra | Paquetes VIP,04-01-2025,21:00:00,WiZink Center,"Madrid, Spain",102.0-141.5 EUR,20241011,Madrid,Spain,102.0,141.5
Maria Becerra,iHeartRadio Fiesta Latina,26-10-2024,20:00:00,Kaseya Center,"Miami, United States Of America",29.0-299.0 USD,20241011,Miami,United States Of America,27.55,284.05
Maria Becerra,Maria Becerra,30-10-2024,20:00:00,The Studio at the Factory,"Dallas, United States Of America",,20241011,Dallas,United States Of America,,
