artist,name,date,time,venue,location,price_range,source_date,city,country,min_price_EUR,max_price_EUR
SZA,WIRELESS FESTIVAL MIDDLE EAST,23-11-2024,,"Etihad Park, Yas Drive","Abu Dhabi, United Arab Emirates",258.75-2750.0 AED,20241011,Abu Dhabi,United Arab Emirates,67.28,715.0
Adam Port,Keinemusik,23-08-2025,15:30:00,,"Berlin, Germany",62.0-62.0 EUR,20241011,Berlin,Germany,62.0,62.0
The Notorious B.I.G.,The Frank White Experience: A Live Band Tribute To Notorious B.I.G.,19-12-2024,20:00:00,Elevation 27,"Virginia Beach, United States Of America",18.0-33.0 USD,20241011,Virginia Beach,United States Of America,17.1,31.35
The Notorious B.I.G.,The Frank White Experience - Live Band Tribute to Notorious B.I.G. w/s/g Felix Free & Zak G,09-11-2024,20:00:00,Middle Ages Beer Hall,"Syracuse, United States Of America",18.99-18.99 USD,20241011,Syracuse,United States Of America,18.04,18.04
Takuya Kuroda,Takuya Kuroda,24-10-2024,19:00:00,Village Underground,"London, Great Britain",,20241011,London,Great Britain,,
Natasha Bedingfield,Natasha Bedingfield - 16+,20-11-2024,20:00:00,Webster Hall,"New York, United States Of America",,20241011,New York,United States Of America,,
Natasha Bedingfield,Meghan Trainor | The Timeless Tour,19-10-2024,18:30:00,Kia Forum,"Inglewood, United States Of America",29.5-149.5 USD,20241011,Inglewood,United States Of America,28.02,142.03
Yandel,Yandel,13-10-2024,20:00:00,Kia Center,"Orlando, United States Of America",,20241011,Orlando,United States Of America,,
Capo Plaza,Pedro Capo,04-11-2024,19:00:00,Irving Plaza Powered By Verizon 5G,"New York, United States Of America",35.0-95.0 USD,20241011,New York,United States Of America,33.25,90.25
Roger,Roger Clyne,17-10-2024,19:00:00,Magic Bag,"Ferndale, United States Of America",,20241011,Ferndale,United States Of America,,
Roger,Roger Creager,18-10-2024,20:30:00,John T Floore Country Store,"Helotes, United States Of America",,20241011,Helotes,United States Of America,,
Roger,Roger Sanchez,16-11-2024,22:00:00,Bloom Nightclub,"San Diego, United States Of America",,20241011,San Diego,United States Of America,,
Roger,Roger Sanchez,16-11-2024,22:00:00,Bloom,"San Diego, United States Of America",14.95-14.95 USD,20241011,San Diego,United States Of America,14.2,14.2
Roger,Roger Wilson & Chris Parkinson,28-11-2024,20:00:00,The Musician,"Leicester, Great Britain",,20241011,Leicester,Great Britain,,
Roger,Roger Clyne & the Peacemakers @ Rialto Theatre,13-12-2024,20:00:00,Rialto Theatre-Tucson,"Tucson, United States Of America",32.5-32.5 USD,20241011,Tucson,United States Of America,30.88,30.88
Roger,Magic Bag Presents: Roger Clyne & The Peacemakers,17-10-2024,19:00:00,The Magic Bag,"Ferndale, United States Of America",30.0-35.0 USD,20241011,Ferndale,United States Of America,28.5,33.25
Roger,Roger Clyne & the Peacemakers w/ Bri Bagwell,18-10-2024,21:00:00,Rumba Cafe,"Columbus, United States Of America",25.0-25.0 USD,20241011,Columbus,United States Of America,23.75,23.75
Roger,Roger Clyne & The Peacemakers with Bri Bagwell,19-10-2024,20:00:00,Joe's on Weed Street,"Chicago, United States Of America",20.0-20.0 USD,20241011,Chicago,United States Of America,19.0,19.0
Roger,NFL Live with Commissioner Roger Goodell and special guests,12-10-2024,10:00:00,,"N/A, N/A",N/A-N/A GBP,20241011,N/A,N/A,,
Roger,"SFC Final - Roger Casements, Portglenone v Erin's Own, Cargin",13-10-2024,15:00:00,,"N/A, N/A",N/A-N/A GBP,20241011,N/A,N/A,,
Roger,"GINA T, LINDA JO RIZZO, ROGER MENO, LAROCHE VALMONT",17-11-2024,17:00:00,Garden Amphitheatre,"Garden Grove, United States Of America",48.08-53.23 USD,20241011,Garden Grove,United States Of America,45.68,50.57
Roger,Vancouver Canucks vs. Pittsburgh Penguins,26-10-2024,19:00:00,Rogers Arena,"Vancouver, Canada",130.0-656.0 CAD,20241011,Vancouver,Canada,89.7,452.64
Roger,Vancouver Canucks vs. Chicago Blackhawks,16-11-2024,19:00:00,Rogers Arena,"Vancouver, Canada",150.0-1044.0 CAD,20241011,Vancouver,Canada,103.5,720.36
Roger,Vancouver Canucks vs. Boston Bruins,14-12-2024,19:00:00,Rogers Arena,"Vancouver, Canada",210.0-930.0 CAD,20241011,Vancouver,Canada,144.9,641.7
Roger,Vancouver Canucks vs. Chicago Blackhawks,15-03-2025,19:00:00,Rogers Arena,"Vancouver, Canada",264.0-1072.0 CAD,20241011,Vancouver,Canada,182.16,739.68
Roger,Edmonton Oilers vs. Chicago Blackhawks,12-10-2024,20:00:00,Rogers Place,"Edmonton, Canada",109.0-609.0 CAD,20241011,Edmonton,Canada,75.21,420.21
Roger,Edmonton Oilers vs. Pittsburgh Penguins,25-10-2024,19:00:00,Rogers Place,"Edmonton, Canada",80.0-448.0 CAD,20241011,Edmonton,Canada,55.2,309.12
Roger,Edmonton Oilers vs. Boston Bruins,19-12-2024,19:00:00,Rogers Place,"Edmonton, Canada",80.0-448.0 CAD,20241011,Edmonton,Canada,55.2,309.12
Roger,Vancouver Canucks vs. Detroit Red Wings,02-02-2025,17:00:00,Rogers Arena,"Vancouver, Canada",115.0-584.0 CAD,20241011,Vancouver,Canada,79.35,402.96
Luvcat,Luvcat,11-11-2024,19:00:00,Manchester The Deaf Institute.,"Manchester, Great Britain",12.0-12.0 GBP,20241011,Manchester,Great Britain,13.92,13.92
Luvcat,Luvcat,12-11-2024,19:00:00,Green Door Store,"Brighton, Great Britain",11.0-11.0 GBP,20241011,Brighton,Great Britain,12.76,12.76
Luvcat,FIRST FIFTY: Luvcat + TTSSFU + KEO,13-11-2024,19:00:00,Moth Club,"London, Great Britain",N/A-N/A GBP,20241011,London,Great Britain,,
Noah Kahan,INVICTUS GAMES Vancouver Whistler 2025 - Opening Ceremony ,08-02-2025,13:00:00,BC Place,"Vancouver, Canada",40.37-279.99 CAD,20241011,Vancouver,Canada,27.86,193.19
Noah Kahan,Life is a Carnival - A Musical Celebration of Robbie Robertson,17-10-2024,19:00:00,Kia Forum,"Inglewood, United States Of America",39.5-299.5 USD,20241011,Inglewood,United States Of America,37.52,284.52
Benson Boone,Benson Boone,17-10-2024,20:00:00,Ascend Amphitheater,"Nashville, United States Of America",45.0-99.5 USD,20241011,Nashville,United States Of America,42.75,94.52
Benson Boone,Benson Boone,21-10-2024,20:00:00,Skyla Credit Union Amphitheatre,"Charlotte, United States Of America",39.5-99.5 USD,20241011,Charlotte,United States Of America,37.52,94.52
Benson Boone,Benson Boone,24-10-2024,19:30:00,The St. Augustine Amphitheatre,"St Augustine, United States Of America",52.0-107.0 USD,20241011,St Augustine,United States Of America,49.4,101.65
Benson Boone,Benson Boone,16-10-2024,20:00:00,Orion Amphitheater,"Huntsville, United States Of America",,20241011,Huntsville,United States Of America,,
Benson Boone,Benson Boone,17-11-2024,19:00:00,3Olympia Theatre,"Dublin, Ireland",46.6-53.35 EUR,20241011,Dublin,Ireland,46.6,53.35
Benson Boone,Benson Boone,19-11-2024,19:00:00,O2 Academy Brixton,"London, Great Britain",0.0-45.0 GBP,20241011,London,Great Britain,0.0,52.2
Benson Boone,Benson Boone,20-11-2024,19:00:00,O2 Academy Brixton,"London, Great Britain",0.0-45.0 GBP,20241011,London,Great Britain,0.0,52.2
Benson Boone,Benson Boone,16-01-2025,20:00:00,Festival Hall Melbourne,"West Melbourne, Australia",85.9-85.9 AUD,20241011,West Melbourne,Australia,51.54,51.54
