artist,genres,followers,popularity,source_date
Eminem,"['detroit hip hop', 'hip hop', 'rap']",91259972,93,20241011
Journey,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",5732190,77,20241011
Tyla,[],1956844,76,20241011
Lil' Kim,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']",1769890,65,20241011
SNAYX,[],8471,32,20241011
Haze,"['latin pop', 'trap latino', 'urbano latino']",76424,72,20241019
Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",15399466,87,20241019
Black Pumas,['retro soul'],1060349,64,20241019
Paul Collins,['movie tunes'],817,33,20241019
Triana,[],229,32,20241019
Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",18737907,87,20241019
SZA,"['pop', 'r&b', 'rap']",23703730,90,20241019
Adam Port,['melodic house'],204813,77,20241019
The Notorious B.I.G.,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",10851733,80,20241019
Takuya Kuroda,"['contemporary jazz', 'indie jazz', 'japanese jazz']",128483,41,20241019
Natasha Bedingfield,"['dance pop', 'pop', 'post-teen pop']",1826183,76,20241019
Yandel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",8003419,81,20241019
Capo Plaza,"['italian hip hop', 'italian pop', 'trap italiana']",3887922,75,20241019
Roger Miller,"['classic country pop', 'classic oklahoma country', 'nashville sound']",276544,54,20241019
Luvcat,[],70580,54,20241019
Noah Kahan,"['pov: indie', 'singer-songwriter pop']",3466929,87,20241019
Estopa,"['pop flamenco', 'rumba', 'spanish pop']",2099222,71,20241019
Benson Boone,['singer-songwriter pop'],3744199,86,20241019
Topic,"['german dance', 'pop dance', 'pop edm', 'uk dance']",264447,76,20241019
LOS NIKIS,['spanish new wave'],35204,37,20241019
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27172860,92,20241019
No Te Va Gustar,"['latin alternative', 'reggae uruguayo', 'rock en espanol', 'rock uruguayo']",2356400,71,20241019
*NSYNC,"['boy band', 'dance pop', 'pop']",2671666,78,20241019
Zion & Lennox,"['reggaeton', 'urbano latino']",7729344,77,20241019
Pink Floyd,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",20977028,80,20241019
Max McNown,[],236743,69,20241019
Christina Aguilera,"['dance pop', 'pop']",8523503,79,20241019
Angelina Mango,['italian pop'],459615,67,20241019
Trippie Redd,"['melodic rap', 'rap', 'trap']",9879383,82,20241019
41,['new york drill'],240577,72,20241019
d4vd,"['bedroom pop', 'bedroom r&b']",3017126,80,20241019
Ralphie Choo,"['indie r&b', 'urbano espanol']",69728,63,20241019
Guè,"['italian hip hop', 'italian pop']",2597003,76,20241019
Walls of Jericho,"['groove metal', 'melodic metalcore']",113362,34,20241019
Phoenix,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais', 'shimmer pop']",1942825,69,20241019
Fridayy,[],249827,67,20241019
D-Event,[],119,11,20241019
Daft Punk,"['electro', 'filter house', 'rock']",10198301,82,20241019
Hombres G,"['latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish rock']",4483935,73,20241019
Lennox,[],23752,56,20241019
Luis R Conriquez,"['corrido', 'sad sierreno', 'sierreno']",6469083,86,20241019
Cyndi Lauper,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",2858051,73,20241019
Crowded House,"['australian rock', 'permanent wave']",879780,71,20241019
Bruno Mars,"['dance pop', 'pop']",60439231,94,20241019
Emre Fel,['turkish singer-songwriter'],318561,68,20241019
Fuerza Regida,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",11841078,89,20241019
Brand Nubian,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop']",235817,42,20241019
Metro Boomin,['rap'],9419007,90,20241019
Common,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'hardcore hip hop', 'hip hop', 'political hip hop']",978659,62,20241019
Skepta,"['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']",1361935,74,20241019
Lady Gaga,"['art pop', 'dance pop', 'pop']",32120416,92,20241019
Kenia OS,"['latin viral pop', 'urbano mexicano']",5501954,76,20241019
Black Moon,"['east coast hip hop', 'hardcore hip hop']",196908,44,20241019
J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",24746817,87,20241019
Nazan Öncel,"['turkish instrumental', 'turkish pop', 'turkish singer-songwriter']",653711,61,20241019
Rick Ross,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",7370543,77,20241019
Aventura,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",8879548,82,20241019
John Maus,"['art pop', 'baroque pop', 'experimental pop', 'grave wave', 'hypnagogic pop', 'noise pop']",215811,49,20241019
Sabrina Carpenter,['pop'],13764628,95,20241019
Tobÿ,"['chill house', 'saxophone house', 'tropical house']",8074,55,20241019
Artemas,[],959846,80,20241019
Delaporte,['spanish indie pop'],67266,48,20241019
jüle.,[],2843,49,20241019
Vacra,['pop urbaine'],89166,68,20241019
Ultimo,"['italian adult pop', 'italian pop']",3617625,72,20241019
Gaby Music,"['pop reggaeton', 'trap latino', 'urbano latino']",73815,66,20241019
sombr,[],186817,64,20241019
HUGEL,['deep house'],342878,77,20241019
ASTRO,"['k-pop', 'k-pop boy group']",2137236,56,20241019
The LOX,"['dirty south rap', 'east coast hip hop', 'hardcore hip hop']",566440,53,20241019
Can Kazaz,"['turkish alt pop', 'turkish rock']",369406,62,20241019
Franglish,"['french hip hop', 'pop urbaine', 'r&b francais']",1528620,70,20241019
Big One,['trap argentino'],634620,75,20241019
Caleb Calloway,['urbano latino'],22150,59,20241019
Pixies,"['alternative rock', 'boston rock', 'permanent wave', 'rock']",3111111,72,20241019
WIU,['trap brasileiro'],2415404,76,20241019
Los Rodriguez,"['argentine rock', 'latin alternative', 'rock en espanol']",718877,61,20241019
Lola Young,['uk pop'],255056,62,20241019
Chencho Corleone,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",1202993,80,20241019
Dee C. Lee,[],3726,27,20241019
Quevedo,"['rap canario', 'trap latino', 'urbano latino']",5191462,82,20241019
Jowell & Randy,"['reggaeton', 'urbano latino']",4427446,72,20241019
David Garrett,"['bow pop', 'pop violin']",499178,54,20241019
girl in red,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",7591174,78,20241019
The Marías,"['bedroom pop', 'la indie']",1560952,77,20241019
Chappell Roan,['indie pop'],3534996,90,20241019
Bad Gyal,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']",1813395,75,20241019
USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",12242700,83,20241019
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",59436644,88,20241019
José Mercé,[],140,0,20241019
Tate McRae,['pop'],6054052,85,20241019
Porter Robinson,"['complextro', 'edm', 'electro house', 'pop dance', 'progressive electro house']",1164119,65,20241019
.Feast,['indonesian indie'],745559,68,20241019
Sebastian Yatra,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",23156699,80,20241019
Doechii,['alternative r&b'],597612,73,20241019
Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",45573720,92,20241019
Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",18908068,93,20241019
Ivan Ferreiro,"['cantautor', 'spanish indie pop']",250520,53,20241019
Harry Styles,['pop'],32962024,84,20241019
Emilia,['pop argentino'],3646592,81,20241019
KHEA,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",5750555,78,20241019
Ashanti,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",3195612,72,20241019
Joan Dausà,"['cantautor catala', 'indie catala', 'rock catala']",51015,49,20241019
Burna Boy,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",10357885,81,20241019
Yeah Yeah Yeahs,"['alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave']",1348311,68,20241019
InI,['jazz rap'],9822,48,20241019
Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",15078947,76,20241019
Yomo,"['latin hip hop', 'reggaeton']",1019477,60,20241019
Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",8467849,82,20241019
Samuraï,[],56128,59,20241019
El Barrio,"['pop flamenco', 'rock andaluz', 'rumba', 'spanish pop']",1251062,64,20241019
Vance Joy,"['folk-pop', 'modern rock']",3175585,77,20241019
Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",38291510,88,20241019
Ayra Starr,['afrobeats'],3721946,79,20241019
Madison Beer,['pop'],7114883,75,20241019
24kGoldn,"['cali rap', 'pop rap']",2243963,71,20241019
Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",14254481,92,20241019
Tiakola,"['french hip hop', 'pop urbaine']",2369496,79,20241019
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",92821145,96,20241019
Rod Wave,['florida rap'],7906077,82,20241019
Hi-Tech,['golden age hip hop'],7809,32,20241019
Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",12699059,84,20241019
Jazzy,"['pop dance', 'uk dance']",77976,69,20241019
IONA,['lo-fi jazzhop'],803,43,20241019
Beyoncé,"['pop', 'r&b']",38758702,87,20241019
Dani Martín,"['spanish pop', 'spanish pop rock']",921567,62,20241019
Héctor Lavoe,"['salsa', 'salsa puertorriquena', 'tropical']",2089265,67,20241019
The Goo Goo Dolls,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",2939489,76,20241019
Airbag,['argentine rock'],872716,69,20241019
Billy Joel,"['album rock', 'classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",6336781,79,20241019
Swallow The Sun,"['doom metal', 'finnish death metal', 'finnish doom metal', 'finnish melodeath', 'finnish metal', 'melodic death metal']",148104,43,20241019
Maria Becerra,"['pop argentino', 'urbano latino']",7083233,82,20241019
Mike Tucker,[],308,12,20241019
Roberto Carlos,"['jovem guarda', 'mpb']",6014790,71,20241019
Andrés Koi,[],6538,33,20241019
MAGIC!,"['pop', 'reggae fusion']",1363551,70,20241019
Nas,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",3920343,74,20241019
Chase Atlantic,['alternative r&b'],8250483,82,20241019
Omar Montes,"['flamenco urbano', 'urbano espanol']",818424,74,20241019
Mishaal Tamer,"['lo-fi chill', 'sad lo-fi']",108178,57,20241019
21 Savage,"['atl hip hop', 'hip hop', 'rap']",20318872,89,20241019
Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",35222759,88,20241019
"Tyler, The Creator","['hip hop', 'rap']",16596279,87,20241019
aespa,['k-pop girl group'],6689704,81,20241019
Black Sheep,"['east coast hip hop', 'queens hip hop']",236079,44,20241019
Rakim,['east coast hip hop'],926508,59,20241019
Kelsea Ballerini,"['contemporary country', 'country']",1202868,70,20241019
John Legend,"['neo soul', 'pop', 'pop soul', 'urban contemporary']",7093247,77,20241019
Berliner Philharmoniker,"['classical', 'classical performance', 'german orchestra', 'orchestra']",224773,74,20241019
ARCO,[],305,8,20241019
Snow Strippers,['cloud rap'],117677,65,20241019
Pink Martini,['lounge'],414266,59,20241019
Charli xcx,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",4280724,90,20241019
Naughty By Nature,"['east coast hip hop', 'hip hop', 'new jersey rap']",1184720,61,20241019
Justin Timberlake,"['dance pop', 'pop']",14609084,83,20241019
Carbonne,[],154686,65,20241019
Marlon Craft,['nyc rap'],173007,58,20241019
De La Soul,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']",1042027,61,20241019
Too $hort,"['cali rap', 'gangster rap', 'golden age hip hop', 'hyphy', 'oakland hip hop', 'west coast rap']",1585009,64,20241019
C4C,"['chillhop', 'lo-fi beats']",12809,52,20241019
Regard,"['pop dance', 'pop edm', 'slap house', 'uk dance']",261537,69,20241019
KARINA,[],230543,45,20241019
Coldplay,"['permanent wave', 'pop']",54081709,92,20241019
Ana Mena,['spanish pop'],949371,70,20241019
2 Chainz,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",8105981,76,20241019
BANKS,"['art pop', 'electropop', 'indie poptimism', 'indietronica', 'shimmer pop']",1063738,58,20241019
Dinosaur Jr.,"['alternative rock', 'lo-fi', 'noise pop', 'noise rock', 'permanent wave', 'power pop', 'shoegaze', 'slacker rock']",550815,52,20241019
R. City,"['reggae fusion', 'virgin islands reggae']",171628,63,20241019
Conrad Sewell,['australian pop'],115267,63,20241019
Ziak,"['drill francais', 'french hip hop', 'pop urbaine']",1092722,63,20241019
Jorja Smith,"['r&b', 'uk contemporary r&b']",3482026,74,20241019
Rosendo Cantú,"['musica neoleonesa', 'norteno']",23274,47,20241019
Nile Rodgers,['disco'],150819,74,20241019
Elyanna,['palestinian pop'],218367,72,20241019
KIDDO,['scandipop'],28471,61,20241019
Jain,['french pop'],969090,64,20241019
DVSR,['rap metal'],27134,28,20241019
La Frontera,"['spanish new wave', 'spanish pop']",95648,43,20241019
Dirty Porko,"['rap espanol', 'spanish hip hop', 'urbano espanol']",63352,47,20241019
Xzibit,"['detroit hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']",2105284,68,20241019
Dua Lipa,"['dance pop', 'pop', 'uk pop']",44842885,88,20241019
Ramos.,[],13452,58,20241019
Trueno,"['argentine hip hop', 'bases de freestyle', 'trap argentino', 'trap latino', 'urbano latino']",7752569,81,20241019
Digable Planets,"['afrofuturism', 'east coast hip hop', 'hip hop', 'jazz rap', 'psychedelic hip hop']",440404,53,20241019
Imagine Dragons,"['modern rock', 'pop', 'rock']",54895738,89,20241019
El Alfa,"['dembow', 'rap dominicano', 'trap latino', 'urbano latino']",3681007,79,20241019
Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",11969427,90,20241019
Pete Rock,"['east coast hip hop', 'instrumental hip hop', 'jazz rap']",360645,55,20241019
Jacob Forever,"['cubaton', 'reparto']",200284,58,20241019
The Cranberries,"['irish rock', 'pop rock', 'rock']",4566527,78,20241019
Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",116583260,89,20241019
Yann Tiersen,"['compositional ambient', 'french soundtrack']",1052596,67,20241019
Slow J,['hip hop tuga'],233839,59,20241019
MC Rick,"['funk bh', 'funk carioca', 'funk mtg']",1539371,70,20241019
Olly Alexander (Years & Years),"['dance pop', 'gauze pop', 'pop', 'pop dance', 'uk pop']",1973858,69,20241019
Myles Smith,['singer-songwriter pop'],751678,79,20241019
Parliament Funkadelic,"['afrofuturism', 'p funk']",31075,44,20241019
Myke Towers,"['reggaeton', 'trap latino', 'urbano latino']",16788680,89,20241019
Miguel,"['r&b', 'urban contemporary']",5314340,81,20241019
Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",3062442,76,20241019
Hozier,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",7942780,87,20241019
Childish Gambino,"['atl hip hop', 'hip hop', 'rap']",13413601,81,20241019
Mägo de Oz,"['celtic metal', 'latin rock', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",4361266,70,20241019
Isaac Delusion,"['electro-pop francais', 'french indie pop', 'french indietronica', 'french psychedelic']",121399,53,20241019
SCH,"['french hip hop', 'pop urbaine', 'rap marseille']",2349837,72,20241019
Wisin & Yandel,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",7781958,80,20241019
BM,[],83388,42,20241019
Souls Of Mischief,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap']",335065,55,20241019
Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']",11155462,79,20241019
Mister V,"['french hip hop', 'pop urbaine', 'rap francais']",588798,53,20241019
Ruth B.,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",3750970,74,20241019
Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",12734991,84,20241019
Crystal Fighters,['shimmer pop'],351845,51,20241019
Martin Kohlstedt,['neo-classical'],49529,45,20241019
Lacrim,"['arabic hip hop', 'french hip hop', 'pop urbaine']",2574585,72,20241019
Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",34949657,88,20241019
Ja Rule,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary']",1938544,70,20241019
Foster The People,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",3850563,75,20241019
Sam Smith,"['pop', 'uk pop']",24439181,84,20241019
Outlawz,['gangster rap'],316500,67,20241019
Gracie Abrams,['alt z'],2717004,86,20241019
Alex Margo,[],1458,32,20241019
Dove Cameron,['pop'],5219858,73,20241019
Stevie Wonder,"['motown', 'soul']",6621450,76,20241019
Ken-Y,['reggaeton'],362741,65,20241019
Bradley Simpson,[],25191,40,20241019
Sátyr,"['lo-fi beats', 'lo-fi jazzhop', 'lo-fi study']",5047,55,20241019
Skillibeng,"['dancehall', 'jamaican dancehall', 'traphall', 'trinibad']",415776,66,20241019
Morad,"['drill espanol', 'urbano espanol']",3556117,80,20241019
Cruza,['indie r&b'],46996,56,20241019
The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",7507142,79,20241019
María Escarmiento,['latin talent show'],49172,46,20241019
keshi,['chill r&b'],3749147,79,20241019
Los Ángeles Azules,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",7778818,79,20241019
Living Room,"['lo-fi jazzhop', 'lo-fi study']",16217,55,20241019
High John,"['lo-fi beats', 'lo-fi jazzhop']",6192,47,20241019
cassö,"['hypertechno', 'pop dance']",72184,70,20241019
Backstreet Boys,"['boy band', 'dance pop', 'pop']",5925649,78,20241019
The Kid LAROI,['australian hip hop'],5752010,85,20241019
Alphaville,"['new romantic', 'new wave pop', 'synthpop']",920904,73,20241019
Angèle,"['belgian pop', 'french pop', 'variete francaise']",2736761,69,20241019
Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",5538445,77,20241019
Chris Brown,"['r&b', 'rap']",23685056,88,20241019
Alan Walker,['electro house'],39592551,82,20241019
Travis Scott,"['rap', 'slap house']",33711661,94,20241019
Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",8141609,87,20241019
Jeezy,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']",2439998,72,20241019
Emma Nissen,[],77301,50,20241019
David Gilmour,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'symphonic rock']",1940195,64,20241019
Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",28684671,84,20241019
Nil Moliner,['spanish pop'],253999,63,20241019
Peysoh,[],145170,56,20241019
Shaboozey,"['modern country pop', 'pop rap']",723976,81,20241019
Leon Thomas,['indie r&b'],188996,66,20241019
Zach Bryan,['classic oklahoma country'],5302985,91,20241019
Ice Cube,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",9165433,75,20241019
Niños Mutantes,"['granada indie', 'musica para ninos', 'spanish indie pop', 'spanish modern rock']",91242,43,20241019
Fuego,"['electro latino', 'rap dominicano', 'trap latino']",275662,63,20241019
LISA,['k-pop'],9227814,83,20241019
AC/DC,"['australian rock', 'hard rock', 'rock']",29595700,84,20241019
iann dior,['melodic rap'],1863495,72,20241019
Dasha,[],238267,75,20241019
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",92632184,96,20241019
Barry Manilow,"['adult standards', 'mellow gold', 'soft rock', 'yacht rock']",1716196,63,20241019
Dilated Peoples,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'west coast rap']",219399,50,20241019
Billy Ray Cyrus,['country rock'],254009,63,20241019
Gaiea Sanskrit,"['kirtan', 'world devotional']",30956,42,20241019
Melanie Martinez,"['alt z', 'electropop', 'pop']",21402342,80,20241019
Roxette,"['europop', 'swedish pop', 'synthpop']",2355638,74,20241019
Dedublüman,['turkce slow sarkilar'],1541489,72,20241019
Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",33837065,84,20241019
Sonny Fodera,"['house', 'pop dance', 'uk dance']",219231,70,20241019
Billie Eilish,"['art pop', 'pop']",100866855,96,20241019
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",22893030,87,20241019
Sammy Rae & The Friends,['nyc pop'],206824,57,20241019
Ms. Lauryn Hill,"['alternative r&b', 'conscious hip hop', 'hip hop', 'neo soul', 'new jersey rap', 'r&b']",3086269,75,20241019
Aitana,"['latin talent show', 'latin viral pop', 'spanish pop']",3093379,74,20241019
Tommy Richman,['chill abstract hip hop'],734192,80,20241019
ANNA,"['italian hip hop', 'italian pop']",1084436,77,20241019
NLE Choppa,"['memphis hip hop', 'rap']",8702747,80,20241019
Gigi Perez,['bedroom pop'],333585,78,20241019
OBOY,"['french hip hop', 'pop urbaine', 'rap francais']",939186,69,20241019
ECKO,"['argentine hip hop', 'trap argentino']",1313183,67,20241019
GIMS,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap conscient']",4948104,80,20241019
Omega,['rap dominicano'],241931,64,20241019
Andrés Calamaro,"['argentine rock', 'cantautor', 'latin alternative', 'pop argentino', 'rock en espanol']",2575756,72,20241019
Nicki Nicole,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino', 'urbano latino']",7630524,80,20241019
Massive Attack,"['downtempo', 'electronica', 'trip hop']",2299048,68,20241019
Jay Wheeler,"['reggaeton', 'trap latino', 'urbano latino']",4383389,80,20241019
Kacey Musgraves,"['classic texas country', 'contemporary country', 'country dawn']",1484963,77,20241019
The Vaccines,"['british indie rock', 'garage rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']",786199,58,20241019
Little Big Town,"['contemporary country', 'country', 'country dawn', 'country road']",2808995,63,20241019
Manolo Garcia,"['cantautor', 'pop flamenco', 'spanish new wave', 'spanish pop']",643138,59,20241019
Laura Pausini,"['europop', 'italian adult pop', 'latin arena pop', 'mexican pop']",2614571,73,20241019
D.O.D,"['electro house', 'house', 'pop dance', 'uk dance']",91456,70,20241019
Leño,"['cantautor', 'spanish new wave', 'spanish punk']",125752,43,20241019
Casey MQ,['bubblegum bass'],8373,35,20241019
Djadja & Dinaz,"['french hip hop', 'pop urbaine', 'rap conscient']",2856063,69,20241019
ERNEST,['modern country pop'],196879,73,20241019
Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",7520488,85,20241019
Dei V,"['trap latino', 'urbano latino']",1359785,81,20241019
Charlie Brown Jr.,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",7487754,76,20241019
Cardi B,"['pop', 'rap']",24541790,81,20241019
Keinemusik,['melodic house'],324079,77,20241019
Tiago PZK,"['trap argentino', 'trap latino', 'urbano latino']",5367451,81,20241019
Luke Combs,"['contemporary country', 'country']",11545769,88,20241019
Jordan Adetunji,['irish hip hop'],175347,74,20241019
The Tequila Worms,[],123,2,20241019
Daya,"['alt z', 'pop']",1673468,72,20241019
ELENA ROSE,['r&b en espanol'],131558,71,20241019
Ryan Castro,"['reggaeton', 'trap colombiano', 'trap latino', 'urbano latino']",3077628,79,20241019
FT Kings,[],17874,67,20241019
Meghan Trainor,"['hip pop', 'pop']",15402687,80,20241019
The 1975,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']",7413810,78,20241019
Deadletter,[],14,0,20241019
Mark Ambor,['singer-songwriter pop'],511228,76,20241019
Polo G,"['chicago rap', 'rap']",11876890,81,20241019
Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",14092972,84,20241019
Morgan Wallen,['contemporary country'],10880228,91,20241019
Bresh,"['italian hip hop', 'italian pop', 'rap genovese']",269964,69,20241019
Prototype,['rap francais'],54550,60,20241019
Chimbala,"['dembow', 'rap dominicano']",641468,70,20241019
50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",15734954,85,20241019
Don Toliver,['rap'],5093747,87,20241019
The Chainsmokers,['pop'],20539287,83,20241019
KADI,[],38774,48,20241019
Patti LaBelle,"['contemporary r&b', 'philly soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",1019629,53,20241019
Taylor Swift,['pop'],123832268,100,20241019
Amaarae,"['afro r&b', 'afrobeats', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",442871,69,20241019
Wiz Khalifa,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",11277546,83,20241019
Julión Álvarez y su Norteño Banda,"['banda', 'musica mexicana', 'norteno', 'sad sierreno']",6676487,84,20241019
Key-Key,['raspe'],38524,66,20241019
Peso Pluma,"['corridos tumbados', 'sad sierreno']",16695112,93,20241019
Miley Cyrus,['pop'],24879382,84,20241019
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26298763,90,20241019
Blessd,"['reggaeton', 'urbano latino']",5124043,82,20241019
Milo j,"['trap argentino', 'trap latino', 'urbano latino']",4882763,83,20241019
Paul McCartney,"['classic rock', 'mellow gold', 'rock', 'soft rock']",4915114,73,20241019
W Sound,[],116656,66,20241019
Kelly Clarkson,"['dance pop', 'pop', 'talent show']",10599267,74,20241019
Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",15155007,79,20241019
Hamza,"['belgian hip hop', 'cloud rap francais', 'french hip hop', 'pop urbaine', 'rap belge']",1373471,74,20241019
LeToya Luckett,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",457389,30,20241019
UZI,"['turkish hip hop', 'turkish trap']",5180224,72,20241019
Camp Lo,"['bronx hip hop', 'east coast hip hop', 'jazz rap']",160785,44,20241019
Fontaines D.C.,"['crank wave', 'irish indie rock', 'irish post-punk']",645930,72,20241019
Marcus King,"['modern blues', 'modern blues rock']",265355,57,20241019
Luísa Sonza,"['funk carioca', 'pop nacional']",6091849,77,20241019
Teddy Swims,[],3187267,86,20241019
DJ Nelson,"['reggaeton', 'urbano latino']",1161318,73,20241019
Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",63182118,92,20241019
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",86320568,95,20241019
Duncan Dhu,"['cantautor', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol', 'spanish new wave', 'spanish pop']",811699,63,20241019
Plan B,"['reggaeton', 'trap latino', 'urbano latino']",5057388,81,20241019
nimino,['melodic house'],86505,66,20241019
IAMX,"['indietronica', 'industrial pop']",201895,51,20241019
Fran C,['reggaeton chileno'],108051,65,20241019
RAYE,"['uk contemporary r&b', 'uk pop']",1696609,79,20241019
L.V.,[],40254,70,20241019
Chayanne,"['latin pop', 'puerto rican pop']",8270548,76,20241019
