artist,genres,followers,popularity,source_date
Bad Gyal,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']",1805508,75,20241011
USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",12200632,83,20241011
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",59223975,88,20241011
José Mercé,[],140,0,20241011
Tate McRae,['pop'],6015586,85,20241011
Porter Robinson,"['complextro', 'edm', 'electro house', 'pop dance', 'progressive electro house']",1161706,65,20241011
.Feast,['indonesian indie'],731566,67,20241011
Sebastian Yatra,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",23127822,80,20241011
Doechii,['alternative r&b'],586645,73,20241011
Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",45512268,92,20241011
Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",18822013,93,20241011
Ivan Ferreiro,"['cantautor', 'spanish indie pop']",250193,53,20241011
Harry Styles,['pop'],32924302,84,20241011
Emilia,['pop argentino'],3603744,81,20241011
KHEA,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",5735803,78,20241011
Ashanti,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",3186731,72,20241011
Joan Dausà,"['cantautor catala', 'indie catala', 'rock catala']",50779,48,20241011
Burna Boy,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",10289144,81,20241011
Yeah Yeah Yeahs,"['alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave']",1342918,67,20241011
InI,['jazz rap'],9756,48,20241011
Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",15074614,76,20241011
Yomo,"['latin hip hop', 'reggaeton']",1019159,60,20241011
Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",8461852,82,20241011
Samuraï,[],55622,59,20241011
